prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,is measured by device,is Measured By,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8728; sequence_match=0.8000,False,0.8687,True,selected
ObjectProperty,has billing period,has Billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9250; levenshtein=0.6250; semantic=0.8312; sequence_match=0.7692,False,0.8418,True,selected
ObjectProperty,has property,has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,measurement made by,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8574; levenshtein=0.4118; semantic=0.8178; sequence_match=0.5600,False,0.745,True,selected
ObjectProperty,measurement made by,is Measured By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7405; levenshtein=0.4706; semantic=0.8405; sequence_match=0.6897,False,0.7569,False,pred already taken by 'is measured by device'
ObjectProperty,has property,has Chemical Property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6113; sequence_match=0.7333,False,0.7347,False,gold already mapped to 'has Physical Property'
ObjectProperty,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.733,False,pred already taken by 'measurement made by'
ObjectProperty,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,pred already taken by 'measurement made by'
ObjectProperty,has measurement,is Measured By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.5714; semantic=0.8848; sequence_match=0.6154,False,0.721,False,pred already taken by 'is measured by device'
ObjectProperty,has billing period,is Billing Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7114; levenshtein=0.5625; semantic=0.7590; sequence_match=0.6667,False,0.7124,False,gold already mapped to 'has Billing'
ObjectProperty,feature is measured by device,is Measured By,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7156; levenshtein=0.4800; semantic=0.7084; sequence_match=0.6486,False,0.6909,False,top-3 avg score 0.6909 < final_threshold 0.7
