prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,is measured by device,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8728; sequence_match=0.8000,False,0.8687,True,selected
ObjectProperty,measurement made by,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7405; levenshtein=0.4706; semantic=0.8405; sequence_match=0.6897,False,0.7569,False,pred already taken by 'is measured by device'
ObjectProperty,has measurement,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.5714; semantic=0.8848; sequence_match=0.6154,False,0.721,False,pred already taken by 'is measured by device'
ObjectProperty,feature is measured by device,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7156; levenshtein=0.4800; semantic=0.7084; sequence_match=0.6486,False,0.6909,False,top-3 avg score 0.6909 < final_threshold 0.7
ObjectProperty,makes measurement,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5972; levenshtein=0.5000; semantic=0.8763; sequence_match=0.5714,False,0.6816,False,top-3 avg score 0.6816 < final_threshold 0.7
ObjectProperty,has property,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6985; levenshtein=0.5000; semantic=0.6693; sequence_match=0.6452,False,0.671,False,top-3 avg score 0.6710 < final_threshold 0.7
ObjectProperty,has duration,has indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8003; levenshtein=0.5000; semantic=0.5626; sequence_match=0.6087,False,0.6572,False,top-3 avg score 0.6572 < final_threshold 0.7
ObjectProperty,has property,is chemical property of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7288; levenshtein=0.5000; semantic=0.5642; sequence_match=0.6452,False,0.6461,False,top-3 avg score 0.6461 < final_threshold 0.7
ObjectProperty,has key performance indicator,has indicator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5876; levenshtein=0.4615; semantic=0.7141; sequence_match=0.6316,False,0.6444,False,top-3 avg score 0.6444 < final_threshold 0.7
ObjectProperty,has period,has tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,has duration,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4769; sequence_match=0.5000,False,0.6023,False,top-3 avg score 0.6023 < final_threshold 0.7
ObjectProperty,isKPIOf,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5632; sequence_match=0.5000,False,0.5784,False,top-3 avg score 0.5784 < final_threshold 0.7
ObjectProperty,has property,is provided by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6818; levenshtein=0.4167; semantic=0.5105; sequence_match=0.5217,False,0.5714,False,top-3 avg score 0.5714 < final_threshold 0.7
ObjectProperty,isKPIOf,is sensor for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.5734; sequence_match=0.4444,False,0.5543,False,top-3 avg score 0.5543 < final_threshold 0.7
