PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,has release date,releasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:date,xsddatetime,xsddate,mismatch,NO,
DatatypeProperty,username,has username,username,hasusername,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:string,xsdstring,xsdstring,tp,YES,
ObjectProperty,has achievement,has achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,has game genre,has genre,hasgamegenre,hasgenre,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Genre,Genre,genre,genre,tp,YES,
ObjectProperty,has item,has item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Item,Item,item,item,tp,NO,
ObjectProperty,has playing area,has playing area,hasplayingarea,hasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,Playing Area,playingarea,playingarea,tp,YES,
ObjectProperty,is achievement in game,is achievement of,isachievementingame,isachievementof,ObjectProperty,ObjectProperty,tp,Achievement,Achievement,achievement,achievement,tp,Game,Player,game,player,mismatch,NO,
ObjectProperty,is friend with player,is friend of,isfriendwithplayer,isfriendof,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Player,Player,player,player,tp,YES,
ObjectProperty,lives in,lives in,livesin,livesin,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,,Location,,location,fp,NO,
ObjectProperty,owns achievement,has achievement type,ownsachievement,hasachievementtype,ObjectProperty,ObjectProperty,tp,Player,Achievement,player,achievement,mismatch,Achievement,Achievement Type,achievement,achievementtype,mismatch,NO,
ObjectProperty,owns item,is item of,ownsitem,isitemof,ObjectProperty,ObjectProperty,tp,Character,Item,character,item,mismatch,Item,Player,item,player,mismatch,NO,
ObjectProperty,plays game,plays game,playsgame,playsgame,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Game,Game,game,game,tp,YES,
