PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,release date,releasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:date,xsddatetime,xsddate,mismatch,NO,
DatatypeProperty,username,has username,username,hasusername,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:string,xsdstring,xsdstring,tp,YES,
ObjectProperty,has achievement,has achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,has game genre,has genre,hasgamegenre,hasgenre,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Genre,Genre,genre,genre,tp,YES,
ObjectProperty,has item,has item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Item,Item,item,item,tp,YES,
ObjectProperty,has playing area,has playing area,hasplayingarea,hasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,Playing Area,playingarea,playingarea,tp,YES,
ObjectProperty,is achievement in game,has achievement type,isachievementingame,hasachievementtype,ObjectProperty,ObjectProperty,tp,Achievement,Achievement,achievement,achievement,tp,Game,Achievement Type,game,achievementtype,mismatch,NO,
ObjectProperty,lives in,resides in,livesin,residesin,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,,Location,,location,fp,NO,
ObjectProperty,owns achievement,has game achievement,ownsachievement,hasgameachievement,ObjectProperty,ObjectProperty,tp,Player,Game,player,game,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,owns item,owns item,ownsitem,ownsitem,ObjectProperty,ObjectProperty,tp,Character,Player,character,player,mismatch,Item,Item,item,item,tp,NO,
ObjectProperty,plays game,played game,playsgame,playedgame,ObjectProperty,ObjectProperty,tp,Player,Game Participation,player,gameparticipation,mismatch,Game,Game,game,game,tp,NO,
ObjectProperty,purchases game offering,purchased in game,purchasesgameoffering,purchasedingame,ObjectProperty,ObjectProperty,tp,in-app purchase event,In App Purchase,inapppurchaseevent,inapppurchase,tp,game product,Game,gameproduct,game,mismatch,NO,
