prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,purchases game offering,purchase game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.8026; sequence_match=0.7273,False,0.8147,True,selected
ObjectProperty,has game genre,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9167; levenshtein=0.5833; semantic=0.7788; sequence_match=0.7368,False,0.8108,True,selected
ObjectProperty,is achievement in game,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7192; levenshtein=0.3684; semantic=0.8788; sequence_match=0.6486,False,0.7489,True,selected
ObjectProperty,owns achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,True,selected
ObjectProperty,plays game,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7328; levenshtein=0.5714; semantic=0.6996; sequence_match=0.6957,False,0.7094,True,selected
ObjectProperty,has achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,game has achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.8069; levenshtein=0.7778; semantic=0.8383; sequence_match=0.8750,False,0.8401,False,gold already mapped to 'has achievement'
ObjectProperty,plays game,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8413; levenshtein=0.6667; semantic=0.8098; sequence_match=0.7500,False,0.8003,False,pred already taken by 'has game genre'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,has item,owns item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'has item'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'owns item'
ObjectProperty,has item,purchase item,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8135; levenshtein=0.5833; semantic=0.6732; sequence_match=0.7368,False,0.7412,False,gold already mapped to 'has item'
ObjectProperty,owns achievement,game has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6833; levenshtein=0.6667; semantic=0.7882; sequence_match=0.7273,False,0.7329,False,gold already mapped to 'has achievement type'
ObjectProperty,owns achievement,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8683; levenshtein=0.4667; semantic=0.7030; sequence_match=0.6087,False,0.7267,False,gold already mapped to 'has achievement type'
ObjectProperty,owns character,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8423; levenshtein=0.4615; semantic=0.7426; sequence_match=0.5714,False,0.7188,False,pred already taken by 'owns item'
ObjectProperty,is achievement in game,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,False,gold already mapped to 'game has achievement'
ObjectProperty,has item,usage item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7302; levenshtein=0.5556; semantic=0.7312; sequence_match=0.6250,False,0.6955,False,top-3 avg score 0.6955 < final_threshold 0.7
ObjectProperty,involves player,for player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6640; levenshtein=0.5000; semantic=0.8127; sequence_match=0.6087,False,0.6951,False,top-3 avg score 0.6951 < final_threshold 0.7
ObjectProperty,purchases game offering,purchase player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8619; levenshtein=0.5238; semantic=0.5788; sequence_match=0.6286,False,0.6898,False,top-3 avg score 0.6898 < final_threshold 0.7
ObjectProperty,has achievement,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.3571; semantic=0.6934; sequence_match=0.5714,False,0.6864,False,top-3 avg score 0.6864 < final_threshold 0.7
ObjectProperty,has item,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4286; semantic=0.6641; sequence_match=0.5714,False,0.6852,False,top-3 avg score 0.6852 < final_threshold 0.7
ObjectProperty,plays game,purchase game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6918; levenshtein=0.5000; semantic=0.6969; sequence_match=0.6667,False,0.6851,False,top-3 avg score 0.6851 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,has playing area,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.4286; semantic=0.6610; sequence_match=0.5714,False,0.6756,False,top-3 avg score 0.6756 < final_threshold 0.7
ObjectProperty,purchases game offering,purchase item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4286; semantic=0.6357; sequence_match=0.5455,False,0.6744,False,top-3 avg score 0.6744 < final_threshold 0.7
ObjectProperty,plays game,usage game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7222; levenshtein=0.5556; semantic=0.7301; sequence_match=0.5556,False,0.6693,False,top-3 avg score 0.6693 < final_threshold 0.7
ObjectProperty,has item,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8167; levenshtein=0.4000; semantic=0.5931; sequence_match=0.5882,False,0.666,False,top-3 avg score 0.6660 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,has character,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6475; sequence_match=0.5263,False,0.657,False,top-3 avg score 0.6570 < final_threshold 0.7
ObjectProperty,owns item,usage item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6602; levenshtein=0.4444; semantic=0.7113; sequence_match=0.5882,False,0.6532,False,top-3 avg score 0.6532 < final_threshold 0.7
ObjectProperty,has game genre,purchase game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.2500; semantic=0.6603; sequence_match=0.5833,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,plays game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,plays game,for player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7037; levenshtein=0.1111; semantic=0.6656; sequence_match=0.5556,False,0.6416,False,top-3 avg score 0.6416 < final_threshold 0.7
ObjectProperty,has feature,has in-app purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7988; levenshtein=0.4375; semantic=0.5719; sequence_match=0.5385,False,0.6364,False,top-3 avg score 0.6364 < final_threshold 0.7
ObjectProperty,involves player,completion for player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6367; levenshtein=0.3684; semantic=0.7172; sequence_match=0.5455,False,0.6331,False,top-3 avg score 0.6331 < final_threshold 0.7
ObjectProperty,is friend with player,equipment player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6741; levenshtein=0.4444; semantic=0.6149; sequence_match=0.6061,False,0.6317,False,top-3 avg score 0.6317 < final_threshold 0.7
ObjectProperty,involves player,usage player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7246; levenshtein=0.5000; semantic=0.5996; sequence_match=0.5600,False,0.6281,False,top-3 avg score 0.6281 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
