Gold_term,Pre_term,Method,Score
release date,has release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
start time,session start time,top3_avg(jaro_winkler+semantic+sequence_match),0.7667
username,has username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has achievement,hard_match,1.0
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
is achievement in game,has all achievements in game,top3_avg(jaro_winkler+semantic+sequence_match),0.7892
owns achievement,game has achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7329
owns item,owns item,hard_match,1.0
plays game,plays game,hard_match,1.0
