prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has billing period,has billing period,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has period,has period,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,makes measurement,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8066; levenshtein=0.6842; semantic=0.9201; sequence_match=0.7429,False,0.8232,True,selected
ObjectProperty,has property,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,has billing period,has period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8461; levenshtein=0.5625; semantic=0.7566; sequence_match=0.7200,False,0.7742,False,gold already mapped to 'has billing period'
ObjectProperty,has period,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8461; levenshtein=0.5625; semantic=0.7566; sequence_match=0.7200,False,0.7742,False,gold already mapped to 'has period'
ObjectProperty,has measurement,provides measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6907; levenshtein=0.6316; semantic=0.8976; sequence_match=0.7273,False,0.7718,False,pred already taken by 'makes measurement'
ObjectProperty,has property,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6113; sequence_match=0.7333,False,0.7347,False,gold already mapped to 'has physical property'
ObjectProperty,measurement made by,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6881; levenshtein=0.2632; semantic=0.8156; sequence_match=0.6111,False,0.7049,False,pred already taken by 'makes measurement'
ObjectProperty,has duration,has period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.5455; semantic=0.6616; sequence_match=0.6000,False,0.6926,False,top-3 avg score 0.6926 < final_threshold 0.7
ObjectProperty,has property,has period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8543; levenshtein=0.4545; semantic=0.6083; sequence_match=0.6000,False,0.6875,False,top-3 avg score 0.6875 < final_threshold 0.7
ObjectProperty,hasGeometry,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8273; levenshtein=0.5000; semantic=0.6331; sequence_match=0.5600,False,0.6734,False,top-3 avg score 0.6734 < final_threshold 0.7
ObjectProperty,is measured by device,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6550; levenshtein=0.2632; semantic=0.7978; sequence_match=0.5405,False,0.6644,False,top-3 avg score 0.6644 < final_threshold 0.7
ObjectProperty,has period,has tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,has duration,has geolocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6829; levenshtein=0.5714; semantic=0.4752; sequence_match=0.6400,False,0.6314,False,top-3 avg score 0.6314 < final_threshold 0.7
ObjectProperty,has property,has component,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6923; levenshtein=0.4167; semantic=0.5721; sequence_match=0.6087,False,0.6243,False,top-3 avg score 0.6243 < final_threshold 0.7
ObjectProperty,hasGeometry,has component,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6923; levenshtein=0.3333; semantic=0.5714; sequence_match=0.6087,False,0.6241,False,top-3 avg score 0.6241 < final_threshold 0.7
ObjectProperty,has duration,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.6119; sequence_match=0.5517,False,0.6208,False,top-3 avg score 0.6208 < final_threshold 0.7
ObjectProperty,has duration,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4769; sequence_match=0.5000,False,0.6023,False,top-3 avg score 0.6023 < final_threshold 0.7
ObjectProperty,has phenomenon time,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8346; levenshtein=0.4118; semantic=0.4837; sequence_match=0.4828,False,0.6004,False,top-3 avg score 0.6004 < final_threshold 0.7
ObjectProperty,has key performance indicator,has period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3077; semantic=0.5317; sequence_match=0.4571,False,0.5948,False,top-3 avg score 0.5948 < final_threshold 0.7
ObjectProperty,hasGeometry,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3684; semantic=0.5381; sequence_match=0.5333,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,feature is measured by device,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6065; levenshtein=0.4000; semantic=0.6862; sequence_match=0.4545,False,0.5824,False,top-3 avg score 0.5824 < final_threshold 0.7
ObjectProperty,has measurement,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.4286; semantic=0.5588; sequence_match=0.5385,False,0.5814,False,top-3 avg score 0.5814 < final_threshold 0.7
ObjectProperty,has phenomenon time,has period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6732; levenshtein=0.3529; semantic=0.5911; sequence_match=0.4615,False,0.5753,False,top-3 avg score 0.5753 < final_threshold 0.7
ObjectProperty,hasGeometry,has period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.5421; sequence_match=0.5000,False,0.5747,False,top-3 avg score 0.5747 < final_threshold 0.7
ObjectProperty,has phenomenon time,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.3333; semantic=0.6391; sequence_match=0.4000,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.7
ObjectProperty,has measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4617; sequence_match=0.4375,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,has period,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.5412; sequence_match=0.4762,False,0.5614,False,top-3 avg score 0.5614 < final_threshold 0.7
ObjectProperty,has period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.6083; sequence_match=0.4444,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5721; sequence_match=0.4286,False,0.5561,False,top-3 avg score 0.5561 < final_threshold 0.7
ObjectProperty,isKPIOf,has period,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.4931; sequence_match=0.5000,False,0.555,False,top-3 avg score 0.5550 < final_threshold 0.7
ObjectProperty,has duration,has billing period,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5960; levenshtein=0.3125; semantic=0.6173; sequence_match=0.4444,False,0.5526,False,top-3 avg score 0.5526 < final_threshold 0.7
ObjectProperty,hasGeometry,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.4743; sequence_match=0.4828,False,0.5519,False,top-3 avg score 0.5519 < final_threshold 0.7
ObjectProperty,has key performance indicator,has component,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8035; levenshtein=0.3462; semantic=0.5022; sequence_match=0.3158,False,0.5506,False,top-3 avg score 0.5506 < final_threshold 0.7
ObjectProperty,has period,has geolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.4861; sequence_match=0.5217,False,0.5502,False,top-3 avg score 0.5502 < final_threshold 0.7
ObjectProperty,has measurement,has period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5576; sequence_match=0.4348,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.7
ObjectProperty,has property,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6402; levenshtein=0.3750; semantic=0.5440; sequence_match=0.4444,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.7
ObjectProperty,hasGeometry,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.3158; semantic=0.6535; sequence_match=0.4000,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,has duration,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.5548; sequence_match=0.4348,False,0.5386,False,top-3 avg score 0.5386 < final_threshold 0.7
ObjectProperty,has measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6225; levenshtein=0.3684; semantic=0.6223; sequence_match=0.3636,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,has property,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6406; levenshtein=0.3889; semantic=0.4725; sequence_match=0.4828,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,has property,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.3571; semantic=0.5892; sequence_match=0.4000,False,0.5305,False,top-3 avg score 0.5305 < final_threshold 0.7
