prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has billing period,Has Billing Date Period,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9350; levenshtein=0.8000; semantic=0.9399; sequence_match=0.8889,False,0.9213,True,selected
ObjectProperty,has measurement,Has Measurement Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8564; sequence_match=0.8000,False,0.8632,True,selected
ObjectProperty,has property,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,has period,Has Tariff Period,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8548; levenshtein=0.6000; semantic=0.7238; sequence_match=0.7500,False,0.7762,True,selected
ObjectProperty,measurement made by,Measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8574; levenshtein=0.4118; semantic=0.8178; sequence_match=0.5600,False,0.745,True,selected
ObjectProperty,makes measurement,Has Measurement Setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7044; levenshtein=0.5238; semantic=0.8393; sequence_match=0.7027,False,0.7488,False,pred already taken by 'has measurement'
ObjectProperty,has billing period,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8114; levenshtein=0.6250; semantic=0.7435; sequence_match=0.6452,False,0.7333,False,gold already mapped to 'Has Billing Date Period'
ObjectProperty,has measurement,Measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.733,False,gold already mapped to 'Has Measurement Setting'
ObjectProperty,makes measurement,Measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,pred already taken by 'measurement made by'
ObjectProperty,measurement made by,Has Measurement Setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6407; levenshtein=0.5238; semantic=0.7478; sequence_match=0.6316,False,0.6734,False,top-3 avg score 0.6734 < final_threshold 0.7
ObjectProperty,has measurement,Has Asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.5000; semantic=0.5502; sequence_match=0.6364,False,0.6691,False,top-3 avg score 0.6691 < final_threshold 0.7
