PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,has release date,releasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:date,xsddatetime,xsddate,mismatch,NO,
DatatypeProperty,username,has username,username,hasusername,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:string,xsdstring,xsdstring,tp,YES,
ObjectProperty,has achievement,has achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,has game genre,has genre,hasgamegenre,hasgenre,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Genre,Genre,genre,genre,tp,YES,
ObjectProperty,has item,has item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Item,Item,item,item,tp,YES,
ObjectProperty,has playing area,has playing area,hasplayingarea,hasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,Playing Area,playingarea,playingarea,tp,YES,
ObjectProperty,is achievement in game,has achievement game,isachievementingame,hasachievementgame,ObjectProperty,ObjectProperty,tp,Achievement,Player Game Achievement,achievement,playergameachievement,mismatch,Game,Game,game,game,tp,NO,
ObjectProperty,lives in,lives in,livesin,livesin,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,,Location,,location,fp,NO,
ObjectProperty,owns achievement,has game achievement,ownsachievement,hasgameachievement,ObjectProperty,ObjectProperty,tp,Player,Game,player,game,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,owns item,owns item,ownsitem,ownsitem,ObjectProperty,ObjectProperty,tp,Character,Player,character,player,mismatch,Item,Item,item,item,tp,NO,
ObjectProperty,plays game,plays game,playsgame,playsgame,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Game,Game,game,game,tp,YES,
