Gold_term,Pre_term,Method,Score
Bordeaux,Bordeaux,hard_match,1.0
RedWine,red wine,hard_match,1.0
Region,region,hard_match,1.0
Vintage,vintage,hard_match,1.0
WhiteWine,white wine,hard_match,1.0
WineBody,body,top3_avg(levenshtein+semantic+sequence_match),0.6559632354312472
WineColor,color,top3_avg(levenshtein+semantic+sequence_match),0.6983351959753289
WineGrape,grape,top3_avg(levenshtein+semantic+sequence_match),0.7158892208306247
WineTaste,wine characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.7136719334272691
Zinfandel,Zinfandel,hard_match,1.0
wine,wine,hard_match,1.0
