gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Bordeaux,Bordeaux,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
RedWine,red wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Region,region,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Vintage,vintage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,white wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Zinfandel,Zinfandel,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineGrape,grape,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.8778; sequence_match=0.7143,False,0.7159,True,selected
WineTaste,wine characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8556; levenshtein=0.3889; semantic=0.7669; sequence_match=0.5185,False,0.7137,True,selected
WineColor,color,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.8252; sequence_match=0.7143,False,0.6983,True,selected
WineBody,body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5000; semantic=0.8012; sequence_match=0.6667,False,0.656,True,selected
VintageYear,vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8946; sequence_match=0.7778,False,0.8665,False,pred already taken by 'Vintage' (higher averaged score)
RedBordeaux,Bordeaux,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.7771; sequence_match=0.8421,False,0.815,False,pred already taken by 'Bordeaux' (higher averaged score)
Zinfandel,Napa Zinfandel,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7863; levenshtein=0.6923; semantic=0.8325; sequence_match=0.8182,False,0.8123,False,gold already mapped to 'Zinfandel'
WineBody,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,pred already taken by 'wine' (higher averaged score)
WineGrape,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,pred already taken by 'wine' (higher averaged score)
WineSugar,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,pred already taken by 'wine' (higher averaged score)
WhiteBordeaux,Bordeaux,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7885; levenshtein=0.6154; semantic=0.7218; sequence_match=0.7619,False,0.7574,False,pred already taken by 'Bordeaux' (higher averaged score)
WineFlavor,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
WhiteBordeaux,white wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8256; levenshtein=0.4615; semantic=0.8189; sequence_match=0.5455,False,0.73,False,pred already taken by 'WhiteWine' (higher averaged score)
RedWine,wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'red wine'
wine,red wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'wine'
WhiteWine,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'white wine'
wine,white wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'wine'
RedWine,white wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'red wine'
WhiteWine,red wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'white wine'
WineDescriptor,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
WineDescriptor,wine characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8248; levenshtein=0.4444; semantic=0.6771; sequence_match=0.5000,False,0.6673,False,pred already taken by 'WineTaste' (higher averaged score)
wine,wine characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.2222; semantic=0.7644; sequence_match=0.3636,False,0.6575,False,gold already mapped to 'wine'
RedBordeaux,red wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.8567; sequence_match=0.4444,False,0.6487,False,pred already taken by 'RedWine' (higher averaged score)
WineGrape,red wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.8143; sequence_match=0.5000,False,0.6459,False,gold already mapped to 'grape'
WineGrape,wine characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.3889; semantic=0.7388; sequence_match=0.5185,False,0.644,False,gold already mapped to 'grape'
RedWine,region,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.4815; sequence_match=0.6154,False,0.6313,False,gold already mapped to 'red wine'
Region,red wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.4815; sequence_match=0.6154,False,0.6313,False,gold already mapped to 'region'
