PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has download location,has Download URL,hasdownloadlocation,hasdownloadurl,DatatypeProperty,DatatypeProperty,tp,,Software Tool,,softwaretool,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has release date,has Release Date,hasreleasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,,Software Version,,softwareversion,fp,xsd:string,xsd:date,xsdstring,xsddate,mismatch,NO,
DatatypeProperty,has website homepage,has Homepage,haswebsitehomepage,hashomepage,DatatypeProperty,DatatypeProperty,tp,,Software Tool,,softwaretool,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
ObjectProperty,has function,has Documentation,hasfunction,hasdocumentation,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,function,Documentation,function,documentation,tp,NO,
ObjectProperty,has license,has License,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,License,,license,fp,NO,
ObjectProperty,has version,has Version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,version number,Software Version,versionnumber,softwareversion,mismatch,NO,
ObjectProperty,implements,implemented In Language,implements,implementedinlanguage,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,is Developed By,isdevelopedby,isdevelopedby,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,runs On Platform,usesplatform,runsonplatform,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Platform,,platform,fp,NO,
ObjectProperty,uses software,has Software Type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Software Tool,swo0000001,softwaretool,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
