Gold_term,Pre_term,Method,Score
action,condition,top3_avg(sequence_match+jaro_winkler+semantic),0.6322
asset,asset,hard_match,1.0000
conflict strategy preference,conflictresolutionstrategy,top3_avg(jaro_winkler+semantic+sequence_match),0.7362
constraint,constraint,hard_match,1.0000
duty,duty,hard_match,1.0000
operator,operator,hard_match,1.0000
party,party,hard_match,1.0000
permission,permission,hard_match,1.0000
policy,policy,hard_match,1.0000
prohibition,prohibition,hard_match,1.0000
rule,rule,hard_match,1.0000
