role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,partof,ispartof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8314; sequence_match=0.8571,False,0.8684,True,selected
property,hasoperator,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8190; levenshtein=0.7500; semantic=0.7978; sequence_match=0.7826,False,0.7998,True,selected
property,hasduty,hastype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6797; sequence_match=0.7143,False,0.7535,True,selected
property,hasaction,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6555; sequence_match=0.6250,False,0.7034,True,selected
property,consequence,specifiedasconsequenceof,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6679; levenshtein=0.4583; semantic=0.8026; sequence_match=0.6286,False,0.6997,True,selected
property,inheritrelation,hasinheritance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6937; levenshtein=0.3333; semantic=0.7759; sequence_match=0.5517,False,0.6738,True,selected
property,hasprohibition,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8357; levenshtein=0.3571; semantic=0.6184; sequence_match=0.5455,False,0.6665,True,selected
property,hasconstraint,hasorconstraint,sequence_match+jaro_winkler+semantic,jaro_winkler=0.9150; levenshtein=0.8667; semantic=0.9076; sequence_match=0.9286,False,0.9171,False,gold already mapped to 'hasconstraint'
property,hasconstraint,hasandconstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8845; levenshtein=0.8125; semantic=0.9082; sequence_match=0.8966,False,0.8964,False,gold already mapped to 'hasconstraint'
property,hasconstraint,hasxorconstraint,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9024; levenshtein=0.8125; semantic=0.8376; sequence_match=0.8966,False,0.8789,False,gold already mapped to 'hasconstraint'
property,hasoperator,haspart,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8818; levenshtein=0.5455; semantic=0.6414; sequence_match=0.6667,False,0.7300,False,gold already mapped to 'usesoperator'
property,hasduty,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8458; levenshtein=0.6250; semantic=0.6680; sequence_match=0.6667,False,0.7268,False,gold already mapped to 'hastype'
property,hasoperator,hasparty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8527; levenshtein=0.5455; semantic=0.6210; sequence_match=0.6316,False,0.7017,False,gold already mapped to 'usesoperator'
property,hasoperator,hasorconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8614; levenshtein=0.4000; semantic=0.6434; sequence_match=0.5385,False,0.6811,False,gold already mapped to 'usesoperator'
property,hasprohibition,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.3571; semantic=0.6033; sequence_match=0.5714,False,0.6773,False,pred already taken by 'hasaction' (higher averaged score)
property,hasaction,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8088; levenshtein=0.4444; semantic=0.6322; sequence_match=0.5882,False,0.6764,False,gold already mapped to 'haspart'
property,hasoperator,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.3636; semantic=0.6487; sequence_match=0.5556,False,0.6753,False,gold already mapped to 'usesoperator'
property,hasduty,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8000; levenshtein=0.4286; semantic=0.6543; sequence_match=0.5714,False,0.6752,False,gold already mapped to 'hastype'
property,hasaction,hasandconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8681; levenshtein=0.4375; semantic=0.5933; sequence_match=0.5600,False,0.6738,False,gold already mapped to 'haspart'
property,hasaction,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8260; levenshtein=0.3846; semantic=0.6452; sequence_match=0.5455,False,0.6722,False,gold already mapped to 'haspart'
property,hasoperator,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.3636; semantic=0.6419; sequence_match=0.5556,False,0.6678,False,gold already mapped to 'usesoperator'
property,hasaction,hasorconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8069; levenshtein=0.4000; semantic=0.6292; sequence_match=0.5000,False,0.6454,False,gold already mapped to 'haspart'
property,hasoperator,hasxorconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.3750; semantic=0.5774; sequence_match=0.5185,False,0.6418,False,gold already mapped to 'usesoperator'
property,hasprohibition,hasinheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8074; levenshtein=0.3571; semantic=0.6069; sequence_match=0.5000,False,0.6381,False,gold already mapped to 'hasparty'
property,hasoperator,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'usesoperator'
property,inheritsfrom,hasinheritance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5794; levenshtein=0.4286; semantic=0.7796; sequence_match=0.5385,False,0.6325,False,pred already taken by 'inheritrelation' (higher averaged score)
property,scope,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.7117; sequence_match=0.5000,False,0.6293,False,pred already taken by 'hasduty' (higher averaged score)
property,hasconstraint,hasinheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7930; levenshtein=0.3571; semantic=0.6486; sequence_match=0.4444,False,0.6287,False,gold already mapped to 'hasconstraint'
property,operand,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6437; levenshtein=0.4167; semantic=0.7147; sequence_match=0.5263,False,0.6282,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasconstraint,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8021; levenshtein=0.3846; semantic=0.6799; sequence_match=0.4000,False,0.6273,False,gold already mapped to 'hasconstraint'
property,hasaction,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.7063; sequence_match=0.5000,False,0.6261,False,gold already mapped to 'haspart'
property,hasaction,hasxorconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7991; levenshtein=0.3750; semantic=0.5703; sequence_match=0.4800,False,0.6165,False,gold already mapped to 'haspart'
property,hasconstraint,allowsnesting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7019; levenshtein=0.3077; semantic=0.5984; sequence_match=0.5385,False,0.6129,False,gold already mapped to 'hasconstraint'
property,partof,haspart,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4365; levenshtein=0.2857; semantic=0.7828; sequence_match=0.6154,False,0.6116,False,gold already mapped to 'ispartof'
property,haspermission,hasinheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6873; levenshtein=0.3571; semantic=0.6159; sequence_match=0.5185,False,0.6072,False,pred already taken by 'inheritrelation' (higher averaged score)
property,hasaction,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6333; sequence_match=0.5000,False,0.6017,False,gold already mapped to 'haspart'
property,assigner,hasinheritance,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.2857; semantic=0.5270; sequence_match=0.5455,False,0.5996,False,top-3 avg score 0.5996 < final_threshold 0.6
property,assignee,hasinheritance,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.3571; semantic=0.5261; sequence_match=0.5455,False,0.5992,False,top-3 avg score 0.5992 < final_threshold 0.6
property,haspermission,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6996; levenshtein=0.2308; semantic=0.5965; sequence_match=0.5000,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.6
property,haspermission,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6996; levenshtein=0.3846; semantic=0.5957; sequence_match=0.5000,False,0.5984,False,top-3 avg score 0.5984 < final_threshold 0.6
property,hasprohibition,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.6221; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.6
property,hasoperator,hasinheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.4286; semantic=0.6345; sequence_match=0.4800,False,0.5930,False,top-3 avg score 0.5930 < final_threshold 0.6
property,partof,hasparty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.5661; sequence_match=0.5714,False,0.5921,False,top-3 avg score 0.5921 < final_threshold 0.6
property,hasduty,hasrole,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6190; levenshtein=0.4286; semantic=0.7193; sequence_match=0.4286,False,0.5890,False,top-3 avg score 0.5890 < final_threshold 0.6
property,andsequence,specifiedasconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6419; levenshtein=0.3750; semantic=0.5496; sequence_match=0.5714,False,0.5876,False,top-3 avg score 0.5876 < final_threshold 0.6
property,scope,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5789; sequence_match=0.5000,False,0.5850,False,top-3 avg score 0.5850 < final_threshold 0.6
property,hasprohibition,hasorconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6365; levenshtein=0.4000; semantic=0.6765; sequence_match=0.4138,False,0.5756,False,top-3 avg score 0.5756 < final_threshold 0.6
property,hasconstraint,isnestedin,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6872; levenshtein=0.3846; semantic=0.5151; sequence_match=0.5217,False,0.5747,False,top-3 avg score 0.5747 < final_threshold 0.6
property,scope,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6648; levenshtein=0.3333; semantic=0.6259; sequence_match=0.4286,False,0.5731,False,top-3 avg score 0.5731 < final_threshold 0.6
property,hasoperator,hasandconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5960; levenshtein=0.3750; semantic=0.6032; sequence_match=0.5185,False,0.5726,False,top-3 avg score 0.5726 < final_threshold 0.6
property,hasconstraint,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6886; sequence_match=0.4000,False,0.5716,False,top-3 avg score 0.5716 < final_threshold 0.6
property,hasduty,hasandconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6756; levenshtein=0.3125; semantic=0.6033; sequence_match=0.4348,False,0.5712,False,top-3 avg score 0.5712 < final_threshold 0.6
property,haspermission,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3846; semantic=0.5525; sequence_match=0.4762,False,0.5662,False,top-3 avg score 0.5662 < final_threshold 0.6
property,hasprohibition,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6456; levenshtein=0.3571; semantic=0.6812; sequence_match=0.3704,False,0.5657,False,top-3 avg score 0.5657 < final_threshold 0.6
