role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has version,hasversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9590; sequence_match=1.0000,True,1.0000,True,selected
property,has release date,hasreleasedate,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.8855; sequence_match=1.0000,True,1.0000,True,selected
property,is developed by,developedby,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9198; sequence_match=0.9167,False,0.9284,True,selected
property,has output,hasoutputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.7980; sequence_match=0.7500,False,0.8227,True,selected
property,has input,hasvalidinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9103; levenshtein=0.6154; semantic=0.7954; sequence_match=0.7619,False,0.8225,True,selected
property,has website homepage,hashomepage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8244; levenshtein=0.6111; semantic=0.7260; sequence_match=0.7586,False,0.7697,True,selected
property,has support url,supports,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7468; levenshtein=0.5385; semantic=0.8040; sequence_match=0.6667,False,0.7392,True,selected
property,has documentation,haslocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8446; levenshtein=0.6250; semantic=0.5298; sequence_match=0.7407,False,0.7368,True,selected
property,has format specification,hasmodification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5128; sequence_match=0.7027,False,0.7144,True,selected
property,uses platform,usesdata,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8500; levenshtein=0.5000; semantic=0.6378; sequence_match=0.6000,False,0.6959,True,selected
property,has interface,hasinputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5902; sequence_match=0.6154,False,0.6873,True,selected
property,uses software,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6637; sequence_match=0.5000,False,0.6768,True,selected
property,has specified data output,hasdataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8050; levenshtein=0.3636; semantic=0.7067; sequence_match=0.5143,False,0.6753,True,selected
property,has output,outputs,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8413; levenshtein=0.5556; semantic=0.8712; sequence_match=0.7500,False,0.8208,False,gold already mapped to 'hasoutputformat'
property,has input,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7311; sequence_match=0.7273,False,0.7909,False,gold already mapped to 'hasvalidinput'
property,is developed by,hasdeveloper,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.6154; semantic=0.7222; sequence_match=0.7200,False,0.7521,False,gold already mapped to 'developedby'
