side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AcceptabilityProperty,WaterProperty,FN,,
gold,class,Actuator,Device,FN,,
gold,class,ChemicalProperty,WaterProperty,FN,,
gold,class,Meter,Device,FN,,
gold,class,Meter,Sensor,FN,,
gold,class,Point,Geometry,FN,,
gold,class,Sensor,Device,FN,,
gold,class,TimeBasedTariff,Tariff,FN,,
gold,class,Water,FeatureOfInterest,FN,,
gold,class,WaterAsset,FeatureOfInterest,FN,,
gold,class,WaterMeter,Device,FN,,
gold,class,WaterMeter,Meter,FN,,
gold,class,WaterMeter,Sensor,TP,,
pred,class,Meter,Actuator,FP,,
pred,class,TemporalDuration,WaterProperty,FP,,
pred,class,WaterAsset,Sensor,FP,,
pred,class,,,untranslated,Actuator,Asset
pred,class,,,untranslated,Alkalinity,WaterChemicalProperty
pred,class,,,untranslated,Chlorine,WaterChemicalProperty
pred,class,,,untranslated,Conductivity,WaterPhysicalProperty
pred,class,,,untranslated,DissolvedOxygen,WaterPhysicalProperty
pred,class,,,untranslated,FlowSensor,Asset
pred,class,,,untranslated,FlowSensor,Sensor
pred,class,,,untranslated,Hardness,WaterChemicalProperty
pred,class,,,untranslated,Motor,Asset
pred,class,,,untranslated,PH,WaterPhysicalProperty
pred,class,,,untranslated,PressureSensor,Asset
pred,class,,,untranslated,PressureSensor,Sensor
pred,class,,,untranslated,Pump,Actuator
pred,class,,,untranslated,Pump,Asset
pred,class,,,untranslated,Sensor,Asset
pred,class,,,untranslated,Turbidity,WaterPhysicalProperty
pred,class,,,untranslated,Valve,Actuator
pred,class,,,untranslated,Valve,Asset
pred,class,,,untranslated,WaterMeter,Asset
pred,class,,,untranslated,WaterQualitySensor,Asset
