prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,prohibition,has prohibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8858; sequence_match=0.8800,False,0.8779,True,selected
ObjectProperty,permission,has permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,has consequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,True,selected
ObjectProperty,action,has action,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8966; sequence_match=0.8000,False,0.8618,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,duty,is duty of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.5000; semantic=0.7894; sequence_match=0.6667,False,0.7631,True,selected
ObjectProperty,assignee,has assignee party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.5000; semantic=0.7789; sequence_match=0.6667,False,0.7596,True,selected
ObjectProperty,assigner,has assigner party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.5000; semantic=0.7428; sequence_match=0.6667,False,0.7476,True,selected
ObjectProperty,conflict,has conflict resolution,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7937; levenshtein=0.3810; semantic=0.7923; sequence_match=0.5517,False,0.7126,True,selected
ObjectProperty,constraint,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8381; levenshtein=0.7143; semantic=0.8875; sequence_match=0.8333,False,0.853,False,gold already mapped to 'has constraint'
ObjectProperty,constraint,sub-constraint,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8564; levenshtein=0.7692; semantic=0.8298; sequence_match=0.8696,False,0.8519,False,gold already mapped to 'has constraint'
ObjectProperty,consequence,is consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8490; sequence_match=0.8462,False,0.8485,False,gold already mapped to 'has consequence'
ObjectProperty,prohibition,is prohibition of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7899; levenshtein=0.7333; semantic=0.8723; sequence_match=0.8462,False,0.8361,False,gold already mapped to 'has prohibition'
ObjectProperty,permission,is permission of,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7714; levenshtein=0.7143; semantic=0.8005; sequence_match=0.8333,False,0.8018,False,gold already mapped to 'has permission'
ObjectProperty,remedy,is remedy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.6000; semantic=0.7718; sequence_match=0.7500,False,0.7962,False,gold already mapped to 'has remedy'
ObjectProperty,action,is action of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7556; levenshtein=0.6000; semantic=0.8276; sequence_match=0.7500,False,0.7777,False,gold already mapped to 'has action'
ObjectProperty,constraint,is sub-constraint of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7294; levenshtein=0.5882; semantic=0.7630; sequence_match=0.7407,False,0.7444,False,gold already mapped to 'has constraint'
ObjectProperty,assigner,has assignee party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.5000; semantic=0.6976; sequence_match=0.6667,False,0.7325,False,gold already mapped to 'has assigner party'
ObjectProperty,andSequence,has consequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4854; sequence_match=0.8000,False,0.728,False,pred already taken by 'consequence'
ObjectProperty,duty,has duty,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5714; semantic=0.8559; sequence_match=0.7273,False,0.7182,False,gold already mapped to 'is duty of'
ObjectProperty,assignee,has assigner party,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7708; levenshtein=0.4375; semantic=0.7850; sequence_match=0.5833,False,0.7131,False,gold already mapped to 'has assignee party'
ObjectProperty,assigner,is assigner party of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7819; levenshtein=0.4706; semantic=0.7143; sequence_match=0.6400,False,0.7121,False,gold already mapped to 'has assigner party'
ObjectProperty,assignee,is assignee party of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7819; levenshtein=0.4706; semantic=0.7071; sequence_match=0.6400,False,0.7096,False,gold already mapped to 'has assignee party'
ObjectProperty,assigner,is assignee party of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7819; levenshtein=0.4706; semantic=0.6428; sequence_match=0.6400,False,0.6882,False,top-3 avg score 0.6882 < final_threshold 0.7
ObjectProperty,assignee,is assigner party of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7146; levenshtein=0.4118; semantic=0.7558; sequence_match=0.5600,False,0.6768,False,top-3 avg score 0.6768 < final_threshold 0.7
ObjectProperty,hasPolicy,includes policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.5000; semantic=0.7977; sequence_match=0.6087,False,0.6743,False,top-3 avg score 0.6743 < final_threshold 0.7
ObjectProperty,conflict,is conflict resolution of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6629; levenshtein=0.3636; semantic=0.8198; sequence_match=0.5333,False,0.672,False,top-3 avg score 0.6720 < final_threshold 0.7
