Gold_term,Pre_term,Method,Score
algorithm,algorithm,hard_match,1.0000
cel ascii format,dataformat,top3_avg(jaro_winkler+semantic+sequence_match),0.6729
cel binary format,openformat,top3_avg(jaro_winkler+semantic+sequence_match),0.6603
data,data,hard_match,1.0000
data item,dataexport,top3_avg(jaro_winkler+semantic+sequence_match),0.6783
format,format,hard_match,1.0000
open source software license,opensourcesoftware,top3_avg(jaro_winkler+sequence_match+semantic),0.8441
platform,platform,hard_match,1.0000
software,software,hard_match,1.0000
software developer role,softwaretool,top3_avg(jaro_winkler+sequence_match+semantic),0.7331
task,task,hard_match,1.0000
version,version,hard_match,1.0000
web service,webservice,hard_match,1.0000
