Gold_term,Pre_term,Method,Score
has documentation,documentation URL,top3_avg(jaro_winkler+semantic+sequence_match),0.803
has release date,release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
has function,has documentation,top3_avg(jaro_winkler+semantic+sequence_match),0.711
has input,has input format,top3_avg(jaro_winkler+semantic+sequence_match),0.812
has license,has license,hard_match,1.0
has output,has output format,top3_avg(jaro_winkler+semantic+sequence_match),0.8343
has version,has version,hard_match,1.0
implements,implemented in language,top3_avg(jaro_winkler+semantic+sequence_match),0.7286
is developed by,developed by,top3_avg(jaro_winkler+semantic+sequence_match),0.9339
uses platform,has platform,top3_avg(jaro_winkler+semantic+sequence_match),0.8178
