Gold_term,Pre_term,Method,Score
assignee,assignee,hard_match,1.0
assigner,assigner,hard_match,1.0
conflict,conflict strategy,top3_avg(jaro_winkler+semantic+sequence_match),0.7858
consequence,consequence,hard_match,1.0
constraint,constraint of,top3_avg(jaro_winkler+semantic+sequence_match),0.9372
inheritFrom,inherits from,top3_avg(jaro_winkler+levenshtein+sequence_match),0.9522
operator,operator of,top3_avg(jaro_winkler+semantic+sequence_match),0.9178
partOf,part of,hard_match,1.0
remedy,remedy,hard_match,1.0
target,target,hard_match,1.0
