Gold_term,Pre_term,Method,Score
has billing date,hasbillingdate,hard_match,1.0000
has billing period,hasbillingdateperiod,top3_avg(jaro_winkler+sequence_match+semantic),0.9005
has duration,duration,top3_avg(semantic+sequence_match+jaro_winkler),0.8622
has fabrication number,hasfabricationnumber,hard_match,1.0000
has firmware version,hasfirmwareversion,hard_match,1.0000
has hardware version,hashardwareversionnumber,top3_avg(jaro_winkler+sequence_match+levenshtein),0.8524
has manufacturer,hasmanufacturer,hard_match,1.0000
has measurement,measures,top3_avg(semantic+jaro_winkler+sequence_match),0.7330
has model,hasmodel,hard_match,1.0000
has period,hastariffperiod,top3_avg(jaro_winkler+sequence_match+semantic),0.7722
has property,haspower,top3_avg(jaro_winkler+sequence_match+levenshtein),0.7490
has start timestamp,startdatetime,top3_avg(semantic+jaro_winkler+sequence_match),0.6849
has timestamp,hastemporalsetting,top3_avg(jaro_winkler+semantic+sequence_match),0.6000
has version,version,top3_avg(semantic+sequence_match+jaro_winkler),0.8461
hasgeometry,hasgeolocation,top3_avg(jaro_winkler+semantic+sequence_match),0.7062
makes measurement,providesmeasurement,top3_avg(semantic+jaro_winkler+sequence_match),0.8085
operates at radio frequency,hasradiofrequencylevel,top3_avg(jaro_winkler+sequence_match+semantic),0.6884
