role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has fabrication number,hasfabricationnumber,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9093; sequence_match=1.0000,True,1.0000,True,selected
property,has manufacturer,hasmanufacturer,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9571; sequence_match=1.0000,True,1.0000,True,selected
property,has model,hasmodel,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9241; sequence_match=1.0000,True,1.0000,True,selected
property,has firmware version,hasfirmwareversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9377; sequence_match=1.0000,True,1.0000,True,selected
property,has billing date,hasbillingdate,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9337; sequence_match=1.0000,True,1.0000,True,selected
property,has billing period,hasbillingdateperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9350; levenshtein=0.8000; semantic=0.8775; sequence_match=0.8889,False,0.9005,True,selected
property,has duration,duration,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9186; sequence_match=0.8421,False,0.8622,True,selected
property,has hardware version,hashardwareversionnumber,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9500; levenshtein=0.7500; semantic=0.6856; sequence_match=0.8571,False,0.8524,True,selected
property,has version,version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9101; sequence_match=0.8235,False,0.8461,True,selected
property,makes measurement,providesmeasurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8066; levenshtein=0.6842; semantic=0.8759; sequence_match=0.7429,False,0.8085,True,selected
property,has period,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8548; levenshtein=0.6000; semantic=0.7117; sequence_match=0.7500,False,0.7722,True,selected
property,has property,haspower,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8737; levenshtein=0.6364; semantic=0.6360; sequence_match=0.7368,False,0.7490,True,selected
property,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.7330,True,selected
property,hasgeometry,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8273; levenshtein=0.5000; semantic=0.7313; sequence_match=0.5600,False,0.7062,True,selected
property,operates at radio frequency,hasradiofrequencylevel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7079; levenshtein=0.4583; semantic=0.6615; sequence_match=0.6957,False,0.6884,True,selected
property,has start timestamp,startdatetime,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6796; levenshtein=0.4706; semantic=0.7751; sequence_match=0.6000,False,0.6849,True,selected
property,has timestamp,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6963; levenshtein=0.3889; semantic=0.6372; sequence_match=0.4667,False,0.6000,True,selected
property,has billing date,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9400; levenshtein=0.7000; semantic=0.8658; sequence_match=0.8235,False,0.8765,False,gold already mapped to 'hasbillingdate'
property,has hardware version,hasfirmwareversion,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.9067; levenshtein=0.8333; semantic=0.7306; sequence_match=0.8333,False,0.8578,False,pred already taken by 'has firmware version' (higher averaged score)
property,has billing period,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9048; levenshtein=0.6250; semantic=0.7708; sequence_match=0.7333,False,0.8030,False,gold already mapped to 'hasbillingdateperiod'
property,has version,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8496; levenshtein=0.5556; semantic=0.7838; sequence_match=0.7143,False,0.7826,False,gold already mapped to 'version'
property,has firmware version,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8114; levenshtein=0.6250; semantic=0.7521; sequence_match=0.7143,False,0.7593,False,gold already mapped to 'hasfirmwareversion'
property,has measurement,providesmeasurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6907; levenshtein=0.6316; semantic=0.8450; sequence_match=0.7273,False,0.7543,False,pred already taken by 'makes measurement' (higher averaged score)
property,has property,haschemicalproperty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6122; sequence_match=0.7333,False,0.7350,False,gold already mapped to 'haspower'
property,has period,haspower,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9020; levenshtein=0.4444; semantic=0.5899; sequence_match=0.7059,False,0.7326,False,gold already mapped to 'hastariffperiod'
property,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,gold already mapped to 'providesmeasurement'
property,has version,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8406; levenshtein=0.4167; semantic=0.7606; sequence_match=0.5882,False,0.7298,False,gold already mapped to 'version'
