side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,FN,,
gold,class,Permission,Rule,FN,,
gold,class,Prohibition,Rule,FN,,
pred,class,LogicalConstraint,Constraint,FP,,
pred,class,,,untranslated,Aggregation,Action
pred,class,,,untranslated,AndOperator,Operator
pred,class,,,untranslated,Disaggregation,Action
pred,class,,,untranslated,NotOperator,Operator
pred,class,,,untranslated,Requirement,Constraint
pred,class,,,untranslated,TransferRight,Permission
pred,class,,,untranslated,or,Operator
pred,class,,,untranslated,xor,Operator
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
