Gold_term,Pre_term,Method,Score
andSequence,has sequence,top3_avg(jaro_winkler+semantic+sequence_match),0.8454
consequence,has consequence duty,top3_avg(jaro_winkler+semantic+sequence_match),0.7814
constraint,has constraint,top3_avg(jaro_winkler+semantic+sequence_match),0.8755
duty,is duty of,top3_avg(jaro_winkler+semantic+sequence_match),0.7631
failure,has failure rule,top3_avg(jaro_winkler+semantic+sequence_match),0.7446
hasPolicy,has policy,hard_match,1.0
obligation,has obligation,top3_avg(jaro_winkler+semantic+sequence_match),0.881
operator,has operator,top3_avg(jaro_winkler+semantic+sequence_match),0.8603
partOf,is party of,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7852
permission,has permission,top3_avg(jaro_winkler+semantic+sequence_match),0.877
prohibition,has prohibition,top3_avg(jaro_winkler+semantic+sequence_match),0.8779
remedy,has remedy,top3_avg(jaro_winkler+semantic+sequence_match),0.8409
