role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,animal,animal,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,herbivore,herbivore,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,lion,lion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,plant,plant,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,plantparts,plantpart,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9800; levenshtein=0.9000; semantic=0.9261; sequence_match=0.9474,False,0.9512,True,selected
class,plant,plantpart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9111; levenshtein=0.5556; semantic=0.8402; sequence_match=0.7143,False,0.8219,False,gold already mapped to 'plant'
class,plantparts,plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7746; sequence_match=0.6667,False,0.7804,False,gold already mapped to 'plantpart'
class,carnivore,herbivore,semantic+jaro_winkler+levenshtein,jaro_winkler=0.7778; levenshtein=0.6667; semantic=0.8346; sequence_match=0.6667,False,0.7597,False,pred already taken by 'herbivore' (higher averaged score)
class,omnivore,herbivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7269; levenshtein=0.5556; semantic=0.6742; sequence_match=0.5882,False,0.6631,False,pred already taken by 'herbivore' (higher averaged score)
class,lion,plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.6276; sequence_match=0.4444,False,0.5685,False,top-3 avg score 0.5685 < final_threshold 0.6
class,plant,lion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.6276; sequence_match=0.4444,False,0.5685,False,top-3 avg score 0.5685 < final_threshold 0.6
class,carnivore,animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6874; sequence_match=0.4000,False,0.5662,False,top-3 avg score 0.5662 < final_threshold 0.6
class,animal,plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.0000; semantic=0.6693; sequence_match=0.3636,False,0.5369,False,top-3 avg score 0.5369 < final_threshold 0.6
class,plant,animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.0000; semantic=0.6693; sequence_match=0.3636,False,0.5369,False,top-3 avg score 0.5369 < final_threshold 0.6
class,animal,plantpart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5557; sequence_match=0.4000,False,0.5223,False,top-3 avg score 0.5223 < final_threshold 0.6
