PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has documentation,documentation URL,hasdocumentation,documentationurl,DatatypeProperty,DatatypeProperty,tp,,Documentation,,documentation,fp,xsd:string,xsd:string,xsdstring,xsdstring,tp,NO,
DatatypeProperty,has release date,release date,hasreleasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,,Version,,version,fp,xsd:string,xsd:dateTime,xsdstring,xsddatetime,mismatch,NO,
ObjectProperty,has function,has documentation,hasfunction,hasdocumentation,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,function,Documentation,function,documentation,tp,NO,
ObjectProperty,has input,has input format,hasinput,hasinputformat,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,License,,license,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,has version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,version number,Version,versionnumber,version,tp,NO,
ObjectProperty,implements,implemented in language,implements,implementedinlanguage,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,developed by,isdevelopedby,developedby,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,has platform,usesplatform,hasplatform,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Platform,,platform,fp,NO,
