prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,uses platform,runs on platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,uses platform,is platform for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.5385; semantic=0.8137; sequence_match=0.7200,False,0.7826,False,gold already mapped to 'runs on platform'
ObjectProperty,has license,is license for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7806; levenshtein=0.5833; semantic=0.8200; sequence_match=0.7273,False,0.776,False,gold already mapped to 'has license'
ObjectProperty,is developed by,develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'developed by'
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'runs on platform'
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has format specification,has algorithm modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7966; levenshtein=0.5833; semantic=0.4897; sequence_match=0.6522,False,0.6774,False,top-3 avg score 0.6774 < final_threshold 0.7
ObjectProperty,is software for,is platform for,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8236; levenshtein=0.5385; semantic=0.6574; sequence_match=0.4615,False,0.6731,False,top-3 avg score 0.6731 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
