Gold_term,Pre_term,Method,Score
andSequence,has sequence,top3_avg(jaro_winkler+semantic+sequence_match),0.8454
assignee,has assignee,top3_avg(jaro_winkler+semantic+sequence_match),0.8681
assigner,has assigner,top3_avg(jaro_winkler+semantic+sequence_match),0.8809
consequence,has consequence duty,top3_avg(jaro_winkler+semantic+sequence_match),0.7814
constraint,constrains,top3_avg(jaro_winkler+levenshtein+sequence_match),0.92
hasPolicy,has policy,hard_match,1.0
inheritFrom,inherits from,top3_avg(jaro_winkler+levenshtein+sequence_match),0.9522
operand,operates on,top3_avg(jaro_winkler+semantic+sequence_match),0.7623
operator,has operator,top3_avg(jaro_winkler+semantic+sequence_match),0.8603
remedy,has remedy duty,top3_avg(jaro_winkler+semantic+sequence_match),0.7181
