gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Bordeaux,Bordeaux,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
VintageYear,Vintage Year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Zinfandel,Napa Zinfandel,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7863; levenshtein=0.6923; semantic=0.8325; sequence_match=0.8182,False,0.8123,True,selected
WhiteBordeaux,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.8359; sequence_match=0.5556,False,0.7561,True,selected
RedBordeaux,Red,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8303; levenshtein=0.2727; semantic=0.8678; sequence_match=0.4286,False,0.7089,True,selected
WineColor,Color,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.8252; sequence_match=0.7143,False,0.6983,True,selected
WineBody,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5000; semantic=0.8012; sequence_match=0.6667,False,0.656,True,selected
WineGrape,Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5983; levenshtein=0.1538; semantic=0.7726; sequence_match=0.4545,False,0.6085,True,selected
Vintage,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8946; sequence_match=0.7778,False,0.8665,False,pred already taken by 'VintageYear' (higher averaged score)
RedBordeaux,Bordeaux,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.7771; sequence_match=0.8421,False,0.815,False,pred already taken by 'Bordeaux' (higher averaged score)
WhiteWine,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9111; levenshtein=0.5556; semantic=0.8055; sequence_match=0.7143,False,0.8103,False,gold already mapped to 'White Wine'
WineBody,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,pred already taken by 'wine' (higher averaged score)
WhiteBordeaux,Bordeaux,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7885; levenshtein=0.6154; semantic=0.7218; sequence_match=0.7619,False,0.7574,False,pred already taken by 'Bordeaux' (higher averaged score)
RedWine,Red,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.7849; sequence_match=0.6000,False,0.7505,False,gold already mapped to 'Red Wine'
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
WhiteBordeaux,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8256; levenshtein=0.4615; semantic=0.8189; sequence_match=0.5455,False,0.73,False,gold already mapped to 'White'
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Red Wine'
