prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has period,uses tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.4752; sequence_match=0.3158,False,0.4698,False,top-3 avg score 0.4698 < final_threshold 0.7
ObjectProperty,makes measurement,uses tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5375; levenshtein=0.2500; semantic=0.5391; sequence_match=0.3077,False,0.4614,False,top-3 avg score 0.4614 < final_threshold 0.7
ObjectProperty,hasGeometry,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.1818; semantic=0.5928; sequence_match=0.3158,False,0.4544,False,top-3 avg score 0.4544 < final_threshold 0.7
ObjectProperty,has duration,uses tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.2727; semantic=0.4448; sequence_match=0.2857,False,0.4448,False,top-3 avg score 0.4448 < final_threshold 0.7
ObjectProperty,applies to,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.2222; semantic=0.5102; sequence_match=0.3529,False,0.4405,False,top-3 avg score 0.4405 < final_threshold 0.7
ObjectProperty,isKPIOf,uses tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.4297; sequence_match=0.2353,False,0.4353,False,top-3 avg score 0.4353 < final_threshold 0.7
ObjectProperty,applies to,uses tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4481; levenshtein=0.0000; semantic=0.5366; sequence_match=0.3158,False,0.4335,False,top-3 avg score 0.4335 < final_threshold 0.7
ObjectProperty,has property,composes,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5379; levenshtein=0.2727; semantic=0.4751; sequence_match=0.2105,False,0.4286,False,top-3 avg score 0.4286 < final_threshold 0.7
ObjectProperty,has phenomenon time,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5899; levenshtein=0.1765; semantic=0.4540; sequence_match=0.2400,False,0.428,False,top-3 avg score 0.4280 < final_threshold 0.7
ObjectProperty,is measured by device,uses tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6011; levenshtein=0.2222; semantic=0.4481; sequence_match=0.0714,False,0.4238,False,top-3 avg score 0.4238 < final_threshold 0.7
ObjectProperty,feature is measured by device,uses tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6052; levenshtein=0.2400; semantic=0.4141; sequence_match=0.0571,False,0.4198,False,top-3 avg score 0.4198 < final_threshold 0.7
ObjectProperty,has measurement,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.2143; semantic=0.4696; sequence_match=0.2727,False,0.4181,False,top-3 avg score 0.4181 < final_threshold 0.7
ObjectProperty,makes measurement,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5000; levenshtein=0.1875; semantic=0.4828; sequence_match=0.2500,False,0.4109,False,top-3 avg score 0.4109 < final_threshold 0.7
ObjectProperty,has measurement,uses tariff,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4857; levenshtein=0.2143; semantic=0.4913; sequence_match=0.1667,False,0.3971,False,top-3 avg score 0.3971 < final_threshold 0.7
ObjectProperty,has period,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.4637; sequence_match=0.2353,False,0.3935,False,top-3 avg score 0.3935 < final_threshold 0.7
ObjectProperty,measurement made by,uses tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4843; levenshtein=0.2353; semantic=0.4522; sequence_match=0.2222,False,0.3906,False,top-3 avg score 0.3906 < final_threshold 0.7
ObjectProperty,hasGeometry,uses tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5182; levenshtein=0.0909; semantic=0.4475; sequence_match=0.1905,False,0.3854,False,top-3 avg score 0.3854 < final_threshold 0.7
ObjectProperty,is measured by device,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.1667; semantic=0.4066; sequence_match=0.2308,False,0.376,False,top-3 avg score 0.3760 < final_threshold 0.7
ObjectProperty,has property,uses tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4131; levenshtein=0.0909; semantic=0.5058; sequence_match=0.1905,False,0.3698,False,top-3 avg score 0.3698 < final_threshold 0.7
ObjectProperty,has billing period,uses tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3833; levenshtein=0.1875; semantic=0.4879; sequence_match=0.2308,False,0.3673,False,top-3 avg score 0.3673 < final_threshold 0.7
ObjectProperty,isKPIOf,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.4481; sequence_match=0.1333,False,0.3644,False,top-3 avg score 0.3644 < final_threshold 0.7
ObjectProperty,measurement made by,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4060; levenshtein=0.1176; semantic=0.4382; sequence_match=0.2400,False,0.3614,False,top-3 avg score 0.3614 < final_threshold 0.7
ObjectProperty,has key performance indicator,uses tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4991; levenshtein=0.1538; semantic=0.4005; sequence_match=0.1667,False,0.3554,False,top-3 avg score 0.3554 < final_threshold 0.7
ObjectProperty,has phenomenon time,uses tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4618; levenshtein=0.1765; semantic=0.4218; sequence_match=0.1481,False,0.3533,False,top-3 avg score 0.3533 < final_threshold 0.7
ObjectProperty,has key performance indicator,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4724; levenshtein=0.1154; semantic=0.4150; sequence_match=0.1176,False,0.335,False,top-3 avg score 0.3350 < final_threshold 0.7
ObjectProperty,has duration,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4053; levenshtein=0.0000; semantic=0.4678; sequence_match=0.1053,False,0.3261,False,top-3 avg score 0.3261 < final_threshold 0.7
