gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Asset,Asset,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Constraint,Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Duty,Duty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Party,Party,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Permission,Permission,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Policy,Policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Prohibition,Prohibition,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Rule,Role,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8500; levenshtein=0.7500; semantic=0.6705; sequence_match=0.7500,False,0.7833,True,selected
LogicalConstraint,or constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7334; levenshtein=0.6471; semantic=0.7903; sequence_match=0.7586,False,0.7608,True,selected
ConflictTerm,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8498; levenshtein=0.3846; semantic=0.6170; sequence_match=0.5263,False,0.6644,True,selected
Constraint,or constraint,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.8444; levenshtein=0.8333; semantic=0.8287; sequence_match=0.9091,False,0.8623,False,gold already mapped to 'Constraint'
Constraint,and constraint,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7897; levenshtein=0.7692; semantic=0.8670; sequence_match=0.8696,False,0.8421,False,gold already mapped to 'Constraint'
