Gold_term,Pre_term,Method,Score
algorithm,Algorithm,hard_match,1.0
data format specification,Data Format,top3_avg(jaro_winkler+semantic+sequence_match),0.7778052259444354
data item,Data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
desktop graphical user interface,Desktop Application,top3_avg(jaro_winkler+semantic+sequence_match),0.7418629403146841
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
programming language,Programming Language,hard_match,1.0
software,Software Tool,top3_avg(jaro_winkler+semantic+sequence_match),0.8808754629558987
software developer organization,Software Version,top3_avg(jaro_winkler+semantic+sequence_match),0.6907666595113713
software interface,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.7574901218695874
web service,Web Service,hard_match,1.0
