prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has Body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasColor,has Color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has Vintage Year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasFlavor,has Color,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.5556; semantic=0.6852; sequence_match=0.7059,False,0.7387,False,pred already taken by 'hasColor'
ObjectProperty,hasBody,has Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6380; sequence_match=0.5882,False,0.6897,False,top-3 avg score 0.6897 < final_threshold 0.7
ObjectProperty,hasVintageYear,has Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8306; levenshtein=0.3125; semantic=0.6220; sequence_match=0.4667,False,0.6397,False,top-3 avg score 0.6397 < final_threshold 0.7
ObjectProperty,hasBody,has Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasColor,has Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasFlavor,has Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6475; sequence_match=0.5000,False,0.6065,False,top-3 avg score 0.6065 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.6208; sequence_match=0.5161,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,madeFromGrape,has Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6218; levenshtein=0.1875; semantic=0.7228; sequence_match=0.4138,False,0.5861,False,top-3 avg score 0.5861 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6711; levenshtein=0.4118; semantic=0.6529; sequence_match=0.4242,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.7
ObjectProperty,hasSugar,has Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5763; sequence_match=0.5000,False,0.581,False,top-3 avg score 0.5810 < final_threshold 0.7
ObjectProperty,hasSugar,has Vintage Year,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.4286; semantic=0.5267; sequence_match=0.5455,False,0.5809,False,top-3 avg score 0.5809 < final_threshold 0.7
ObjectProperty,hasColor,has Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6551; sequence_match=0.4444,False,0.5776,False,top-3 avg score 0.5776 < final_threshold 0.7
ObjectProperty,hasSugar,has Quality Rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7958; levenshtein=0.3125; semantic=0.5063; sequence_match=0.4167,False,0.5729,False,top-3 avg score 0.5729 < final_threshold 0.7
ObjectProperty,hasVintageYear,has Quality Rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6798; levenshtein=0.2500; semantic=0.6088; sequence_match=0.4000,False,0.5628,False,top-3 avg score 0.5628 < final_threshold 0.7
ObjectProperty,hasFlavor,has Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.6093; sequence_match=0.4348,False,0.5623,False,top-3 avg score 0.5623 < final_threshold 0.7
ObjectProperty,hasColor,has Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasSugar,has Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3125; semantic=0.5091; sequence_match=0.5000,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
