side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AcceptabilityProperty,WaterProperty,TP,,
gold,class,Actuator,Device,TP,,
gold,class,ChemicalProperty,WaterProperty,TP,,
gold,class,Meter,Device,FN,,
gold,class,Meter,Sensor,FN,,
gold,class,Point,Geometry,FN,,
gold,class,Sensor,Device,TP,,
gold,class,TimeBasedTariff,Tariff,FN,,
gold,class,Water,FeatureOfInterest,FN,,
gold,class,WaterAsset,FeatureOfInterest,FN,,
gold,class,WaterMeter,Device,TP,,
gold,class,WaterMeter,Meter,FN,,
gold,class,WaterMeter,Sensor,FN,,
pred,class,Actuator,WaterAsset,FP,,
pred,class,Device,WaterAsset,FP,,
pred,class,Sensor,WaterAsset,FP,,
pred,class,WaterInfrastructure,WaterAsset,FP,,
pred,class,WaterMeter,WaterAsset,FP,,
pred,property,,,untranslated,actuatorOf,deviceOf
pred,property,,,untranslated,actuatorOf,hasDevice
pred,property,,,untranslated,hasSensor,hasDevice
pred,property,,,untranslated,hasWaterMeter,hasDevice
pred,property,,,untranslated,sensorOf,deviceOf
pred,property,,,untranslated,waterMeterOf,deviceOf
