PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has release date,has release date,hasreleasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,,Tool Version,,toolversion,fp,xsd:string,xsd:date,xsdstring,xsddate,mismatch,NO,
DatatypeProperty,has support URL,has URL,hassupporturl,hasurl,DatatypeProperty,DatatypeProperty,tp,,Software Source,,softwaresource,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has website homepage,has homepage,haswebsitehomepage,hashomepage,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
ObjectProperty,has format specification,has format,hasformatspecification,hasformat,ObjectProperty,ObjectProperty,tp,data item,Data,dataitem,data,tp,data format specification,Data Format,dataformatspecification,dataformat,tp,YES,
ObjectProperty,has function,has modification,hasfunction,hasmodification,ObjectProperty,ObjectProperty,tp,,Algorithm Usage,,algorithmusage,fp,function,Modification,function,modification,tp,NO,
ObjectProperty,has input,has valid input,hasinput,hasvalidinput,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Valid Input Specification,,validinputspecification,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Software License,,softwarelicense,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,has version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,version number,Tool Version,versionnumber,toolversion,mismatch,NO,
ObjectProperty,implements,implemented in language,implements,implementedinlanguage,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,has developer,isdevelopedby,hasdeveloper,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,uses algorithm,usesplatform,usesalgorithm,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Algorithm,,algorithm,fp,NO,
ObjectProperty,uses software,has software type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Tool,swo0000001,tool,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
