prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has version,Has Version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has output,Has Output Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,Has Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,uses platform,Runs On Platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,is developed by,Has Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.6154; semantic=0.7699; sequence_match=0.7200,False,0.768,True,selected
ObjectProperty,has format specification,Has Modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5174; sequence_match=0.7027,False,0.7144,True,selected
ObjectProperty,uses platform,Platform For,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7980; levenshtein=0.4167; semantic=0.8540; sequence_match=0.6957,False,0.7825,False,gold already mapped to 'Runs On Platform'
ObjectProperty,has version,Version Of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7307; levenshtein=0.5000; semantic=0.8545; sequence_match=0.7368,False,0.774,False,gold already mapped to 'Has Version'
ObjectProperty,is developed by,Developer Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7809; levenshtein=0.6154; semantic=0.7972; sequence_match=0.6667,False,0.7482,False,gold already mapped to 'Has Developer'
ObjectProperty,uses platform,Uses Algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'Runs On Platform'
ObjectProperty,has function,Has Modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8124; levenshtein=0.5333; semantic=0.6087; sequence_match=0.6923,False,0.7045,False,pred already taken by 'has format specification'
ObjectProperty,has declared status,Has Maintenance Status,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8096; levenshtein=0.5000; semantic=0.6414; sequence_match=0.6486,False,0.6999,False,top-3 avg score 0.6999 < final_threshold 0.7
ObjectProperty,has output,Has Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6270; sequence_match=0.6250,False,0.6939,False,top-3 avg score 0.6939 < final_threshold 0.7
ObjectProperty,has interface,Has Input Format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,Has Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7900; levenshtein=0.6000; semantic=0.6106; sequence_match=0.6316,False,0.6774,False,top-3 avg score 0.6774 < final_threshold 0.7
ObjectProperty,is developed by,Has Development Model,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7652; levenshtein=0.5263; semantic=0.6141; sequence_match=0.6250,False,0.6681,False,top-3 avg score 0.6681 < final_threshold 0.7
ObjectProperty,has output,Has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7904; levenshtein=0.4000; semantic=0.7129; sequence_match=0.5000,False,0.6677,False,top-3 avg score 0.6677 < final_threshold 0.7
ObjectProperty,has interface,Has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8665; levenshtein=0.4167; semantic=0.6678; sequence_match=0.4545,False,0.6629,False,top-3 avg score 0.6629 < final_threshold 0.7
ObjectProperty,has interface,Has Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6583; sequence_match=0.5263,False,0.6606,False,top-3 avg score 0.6606 < final_threshold 0.7
ObjectProperty,has output,Has Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6085; sequence_match=0.5217,False,0.6584,False,top-3 avg score 0.6584 < final_threshold 0.7
ObjectProperty,has format specification,Has Output Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.8151; sequence_match=0.4865,False,0.6574,False,top-3 avg score 0.6574 < final_threshold 0.7
ObjectProperty,has format specification,Has Input Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7557; sequence_match=0.5000,False,0.6485,False,top-3 avg score 0.6485 < final_threshold 0.7
ObjectProperty,has interface,Has Maintenance Status,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7978; levenshtein=0.4500; semantic=0.5179; sequence_match=0.6250,False,0.6469,False,top-3 avg score 0.6469 < final_threshold 0.7
ObjectProperty,is developed by,Development Model Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7308; levenshtein=0.3889; semantic=0.6257; sequence_match=0.5806,False,0.6457,False,top-3 avg score 0.6457 < final_threshold 0.7
ObjectProperty,has specified data input,Has Modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4286; semantic=0.5451; sequence_match=0.5556,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has format specification,Has Export Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6910; levenshtein=0.2727; semantic=0.7540; sequence_match=0.4865,False,0.6438,False,top-3 avg score 0.6438 < final_threshold 0.7
ObjectProperty,has license,Has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
