prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,leftOperand,hasLeftOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9286; levenshtein=0.7857; semantic=0.9303; sequence_match=0.8800,False,0.913,True,selected
ObjectProperty,assigner,hasAssigner,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9091; levenshtein=0.7273; semantic=0.8914; sequence_match=0.8421,False,0.8809,True,selected
ObjectProperty,prohibition,hasProhibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8858; sequence_match=0.8800,False,0.8779,True,selected
ObjectProperty,permission,hasPermission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,constraint,hasConstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,hasConsequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,True,selected
ObjectProperty,assignee,hasAssignee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9091; levenshtein=0.7273; semantic=0.8532; sequence_match=0.8421,False,0.8681,True,selected
ObjectProperty,action,hasAction,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8966; sequence_match=0.8000,False,0.8618,True,selected
ObjectProperty,operator,hasOperator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,remedy,hasRemedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,hasPolicy,subPolicyOf,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8047; levenshtein=0.5455; semantic=0.7437; sequence_match=0.7000,False,0.7495,True,selected
ObjectProperty,failure,hasFailureRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7857; levenshtein=0.5000; semantic=0.7813; sequence_match=0.6667,False,0.7446,True,selected
ObjectProperty,conflict,hasConflictStrategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8070; levenshtein=0.4211; semantic=0.7881; sequence_match=0.5926,False,0.7292,True,selected
ObjectProperty,duty,hasDuty,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5714; semantic=0.8559; sequence_match=0.7273,False,0.7182,True,selected
ObjectProperty,assignee,hasAssigner,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8371; levenshtein=0.6364; semantic=0.8755; sequence_match=0.7368,False,0.8165,False,gold already mapped to 'hasAssignee'
ObjectProperty,assigner,hasAssignee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8371; levenshtein=0.6364; semantic=0.7728; sequence_match=0.7368,False,0.7822,False,gold already mapped to 'hasAssigner'
ObjectProperty,hasPolicy,relatesToPolicy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7241; levenshtein=0.5333; semantic=0.8328; sequence_match=0.6667,False,0.7412,False,gold already mapped to 'subPolicyOf'
ObjectProperty,andSequence,hasConsequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4854; sequence_match=0.8000,False,0.728,False,pred already taken by 'consequence'
ObjectProperty,leftOperand,hasRightOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6702; levenshtein=0.5333; semantic=0.8478; sequence_match=0.6154,False,0.7111,False,gold already mapped to 'hasLeftOperand'
ObjectProperty,constraint,hasNegatedConstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5778; levenshtein=0.5000; semantic=0.7926; sequence_match=0.6667,False,0.679,False,top-3 avg score 0.6790 < final_threshold 0.7
ObjectProperty,hasPolicy,hasParty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.5838; sequence_match=0.5882,False,0.6694,False,top-3 avg score 0.6694 < final_threshold 0.7
ObjectProperty,operand,hasLeftOperand,semantic+sequence_match+levenshtein,jaro_winkler=0.3095; levenshtein=0.5000; semantic=0.8090; sequence_match=0.6667,False,0.6586,False,top-3 avg score 0.6586 < final_threshold 0.7
ObjectProperty,operand,hasRightOperand,semantic+sequence_match+levenshtein,jaro_winkler=0.3063; levenshtein=0.4667; semantic=0.8524; sequence_match=0.6364,False,0.6518,False,top-3 avg score 0.6518 < final_threshold 0.7
ObjectProperty,relation,relatesToPolicy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8300; levenshtein=0.4000; semantic=0.5644; sequence_match=0.5217,False,0.6387,False,top-3 avg score 0.6387 < final_threshold 0.7
ObjectProperty,operand,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7565; sequence_match=0.5556,False,0.6339,False,top-3 avg score 0.6339 < final_threshold 0.7
ObjectProperty,operator,hasLogicalOperator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4907; levenshtein=0.4444; semantic=0.7882; sequence_match=0.6154,False,0.6315,False,top-3 avg score 0.6315 < final_threshold 0.7
ObjectProperty,function,hasAction,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7269; levenshtein=0.5556; semantic=0.5552; sequence_match=0.5882,False,0.6235,False,top-3 avg score 0.6235 < final_threshold 0.7
ObjectProperty,relation,hasAction,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7269; levenshtein=0.5556; semantic=0.4711; sequence_match=0.5882,False,0.6235,False,top-3 avg score 0.6235 < final_threshold 0.7
ObjectProperty,action,hasNextAction,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4658; levenshtein=0.4615; semantic=0.7502; sequence_match=0.6316,False,0.6159,False,top-3 avg score 0.6159 < final_threshold 0.7
ObjectProperty,hasPolicy,hasRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6712; sequence_match=0.5000,False,0.6144,False,top-3 avg score 0.6144 < final_threshold 0.7
