prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,consequence,consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9692; levenshtein=0.8462; semantic=0.9574; sequence_match=0.9167,False,0.9478,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,operator,has operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,andSequence,has consequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4854; sequence_match=0.8000,False,0.728,True,selected
ObjectProperty,consequence,has consequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,False,gold already mapped to 'consequence of'
ObjectProperty,constraint,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8381; levenshtein=0.7143; semantic=0.8875; sequence_match=0.8333,False,0.853,False,gold already mapped to 'has constraint'
ObjectProperty,operator,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8638; sequence_match=0.8000,False,0.8509,False,gold already mapped to 'has operator'
ObjectProperty,remedy,is remedy for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.7881; sequence_match=0.7059,False,0.7808,False,gold already mapped to 'has remedy'
ObjectProperty,andSequence,consequence of,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8368; levenshtein=0.6154; semantic=0.5479; sequence_match=0.7500,False,0.7341,False,pred already taken by 'consequence'
ObjectProperty,operand,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7103; levenshtein=0.4167; semantic=0.7030; sequence_match=0.5263,False,0.6465,False,top-3 avg score 0.6465 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,operand,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7565; sequence_match=0.5556,False,0.6339,False,top-3 avg score 0.6339 < final_threshold 0.7
ObjectProperty,action,activates upon failure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8600; levenshtein=0.3000; semantic=0.5326; sequence_match=0.4615,False,0.618,False,top-3 avg score 0.6180 < final_threshold 0.7
ObjectProperty,scope,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5825; sequence_match=0.5000,False,0.6012,False,top-3 avg score 0.6012 < final_threshold 0.7
ObjectProperty,failure,activates upon failure,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5071; levenshtein=0.3500; semantic=0.7723; sequence_match=0.5185,False,0.5993,False,top-3 avg score 0.5993 < final_threshold 0.7
ObjectProperty,inheritFrom,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6923; levenshtein=0.5000; semantic=0.5691; sequence_match=0.5217,False,0.5944,False,top-3 avg score 0.5944 < final_threshold 0.7
ObjectProperty,partOf,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7037; levenshtein=0.4444; semantic=0.5415; sequence_match=0.5333,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.7
ObjectProperty,leftOperand,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.7259; sequence_match=0.4545,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
ObjectProperty,scope,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7111; levenshtein=0.2500; semantic=0.5471; sequence_match=0.4706,False,0.5763,False,top-3 avg score 0.5763 < final_threshold 0.7
ObjectProperty,assigner,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5490; sequence_match=0.5000,False,0.5719,False,top-3 avg score 0.5719 < final_threshold 0.7
ObjectProperty,assignee,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5462; sequence_match=0.5000,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.7
ObjectProperty,failure,is activated by failure,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4151; levenshtein=0.3500; semantic=0.7624; sequence_match=0.5185,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.7
ObjectProperty,assignee,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.2222; semantic=0.5535; sequence_match=0.4706,False,0.5614,False,top-3 avg score 0.5614 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,assigner,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.2222; semantic=0.5338; sequence_match=0.4706,False,0.5549,False,top-3 avg score 0.5549 < final_threshold 0.7
ObjectProperty,scope,has consequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6952; levenshtein=0.2857; semantic=0.5453; sequence_match=0.4211,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,leftOperand,is operator of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5152; levenshtein=0.2500; semantic=0.7037; sequence_match=0.4348,False,0.5512,False,top-3 avg score 0.5512 < final_threshold 0.7
ObjectProperty,partOf,is operator of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6167; levenshtein=0.4167; semantic=0.4810; sequence_match=0.5556,False,0.5511,False,top-3 avg score 0.5511 < final_threshold 0.7
ObjectProperty,constraint,consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6282; levenshtein=0.3846; semantic=0.5831; sequence_match=0.4348,False,0.5487,False,top-3 avg score 0.5487 < final_threshold 0.7
ObjectProperty,conflict,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,hasPolicy,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5388; sequence_match=0.5000,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,assigner,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5997; sequence_match=0.4211,False,0.5473,False,top-3 avg score 0.5473 < final_threshold 0.7
ObjectProperty,inheritFrom,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.1818; semantic=0.5355; sequence_match=0.4545,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.7
ObjectProperty,action,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,hasPolicy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.5470; sequence_match=0.4444,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.7
ObjectProperty,action,has consequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.5660; sequence_match=0.4000,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.7
ObjectProperty,hasPolicy,has conflict resolution strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,assigner,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,hasPolicy,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.3571; semantic=0.5958; sequence_match=0.4348,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.7
ObjectProperty,target,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5462; sequence_match=0.4286,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,conflict,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6300; sequence_match=0.3636,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,constraint,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5651; levenshtein=0.3571; semantic=0.6060; sequence_match=0.4167,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,inheritFrom,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.2727; semantic=0.5786; sequence_match=0.4000,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.7
ObjectProperty,operator,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.3571; semantic=0.5330; sequence_match=0.4545,False,0.5272,False,top-3 avg score 0.5272 < final_threshold 0.7
ObjectProperty,assignee,has consequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4522; sequence_match=0.4545,False,0.5258,False,top-3 avg score 0.5258 < final_threshold 0.7
ObjectProperty,constraint,is strategy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.4797; sequence_match=0.4545,False,0.5244,False,top-3 avg score 0.5244 < final_threshold 0.7
ObjectProperty,target,is strategy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.2500; semantic=0.5131; sequence_match=0.3333,False,0.5229,False,top-3 avg score 0.5229 < final_threshold 0.7
ObjectProperty,relation,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.3333; semantic=0.5818; sequence_match=0.4000,False,0.5217,False,top-3 avg score 0.5217 < final_threshold 0.7
ObjectProperty,inheritRelation,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.3333; semantic=0.4970; sequence_match=0.4615,False,0.5214,False,top-3 avg score 0.5214 < final_threshold 0.7
ObjectProperty,conflict,consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.3077; semantic=0.5785; sequence_match=0.3810,False,0.5207,False,top-3 avg score 0.5207 < final_threshold 0.7
ObjectProperty,permission,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5194; sequence_match=0.4211,False,0.5197,False,top-3 avg score 0.5197 < final_threshold 0.7
ObjectProperty,or,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.1667; semantic=0.5475; sequence_match=0.2857,False,0.5185,False,top-3 avg score 0.5185 < final_threshold 0.7
ObjectProperty,conflict,involved party,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6032; levenshtein=0.1538; semantic=0.6650; sequence_match=0.2857,False,0.518,False,top-3 avg score 0.5180 < final_threshold 0.7
ObjectProperty,operator,involved party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.2308; semantic=0.5556; sequence_match=0.3810,False,0.513,False,top-3 avg score 0.5130 < final_threshold 0.7
