Gold_term,Pre_term,Method,Score
has release date,release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
has clause,has usage,top3_avg(jaro_winkler+semantic+sequence_match),0.7533
has format specification,has format category,top3_avg(jaro_winkler+semantic+sequence_match),0.7665
has input,has valid input,top3_avg(jaro_winkler+semantic+sequence_match),0.8289
has license,has license,hard_match,1.0
has version,has version,hard_match,1.0
implements,is implemented in,top3_avg(jaro_winkler+semantic+sequence_match),0.7726
is developed by,was developed by,top3_avg(jaro_winkler+semantic+sequence_match),0.9223
uses platform,uses algorithm,top3_avg(jaro_winkler+semantic+sequence_match),0.7177
uses software,has software type,top3_avg(jaro_winkler+semantic+sequence_match),0.7257
