role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,algorithm,algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,software,software,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,web service,webservice,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9795; sequence_match=1.0000,True,1.0000,True,selected
class,task,task,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,format,format,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,data,data,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,version,version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,platform,platform,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,desktop graphical user interface,desktopapplication,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8506; levenshtein=0.4138; semantic=0.7734; sequence_match=0.5957,False,0.7399,True,selected
class,software developer role,softwaretool,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8699; levenshtein=0.5238; semantic=0.6627; sequence_match=0.6667,False,0.7331,True,selected
class,data item,dataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.4000; semantic=0.6426; sequence_match=0.5556,False,0.6783,True,selected
class,cel ascii format,fileformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7365; levenshtein=0.5000; semantic=0.7076; sequence_match=0.5833,False,0.6758,True,selected
class,cel binary format,dataformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.4667; semantic=0.7067; sequence_match=0.5600,False,0.6471,True,selected
class,software,softwaretool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8891; sequence_match=0.8000,False,0.8741,False,gold already mapped to 'software'
class,format,fileformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.9123; sequence_match=0.7500,False,0.8474,False,gold already mapped to 'format'
class,web service,service,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7571; levenshtein=0.7000; semantic=0.7658; sequence_match=0.8235,False,0.7822,False,gold already mapped to 'webservice'
class,data item,data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,False,pred already taken by 'data' (higher averaged score)
class,format,dataformat,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7000; levenshtein=0.6000; semantic=0.8941; sequence_match=0.7500,False,0.7814,False,gold already mapped to 'format'
class,version,person,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8492; levenshtein=0.7143; semantic=0.5101; sequence_match=0.7692,False,0.7776,False,gold already mapped to 'version'
class,data,dataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7683; sequence_match=0.5714,False,0.7399,False,gold already mapped to 'data'
class,data,dataformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7163; sequence_match=0.5714,False,0.7226,False,gold already mapped to 'data'
