Gold_term,Pre_term,Method,Score
Bordeaux,Bordeaux Wine,top3_avg(jaro_winkler+semantic+sequence_match),0.8591649876700508
RedBordeaux,Bordeaux Grapes,top3_avg(jaro_winkler+semantic+sequence_match),0.6839463709443163
Region,Region,hard_match,1.0
Vintage,Vintage,hard_match,1.0
VintageYear,Vintage Quality,top3_avg(jaro_winkler+semantic+sequence_match),0.7783106379614478
WhiteWine,White Wine Color,top3_avg(jaro_winkler+semantic+sequence_match),0.8542889666359864
WineBody,Body,top3_avg(levenshtein+semantic+sequence_match),0.6559632354312472
WineColor,Red Wine Color,top3_avg(jaro_winkler+semantic+sequence_match),0.8825156446907676
WineGrape,Grape Variety,top3_avg(jaro_winkler+semantic+sequence_match),0.6290454583823997
WineTaste,Wine Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.7136719334272691
wine,Wine,hard_match,1.0
