gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Region,Region,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Vintage,Vintage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineColor,Red Wine Color,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8426; levenshtein=0.7500; semantic=0.9478; sequence_match=0.8571,False,0.8825,True,selected
Bordeaux,Bordeaux Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8442; sequence_match=0.8000,False,0.8592,True,selected
WhiteWine,White Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9286; levenshtein=0.6429; semantic=0.8517; sequence_match=0.7826,False,0.8543,True,selected
VintageYear,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5714; semantic=0.8249; sequence_match=0.6400,False,0.7783,True,selected
WineTaste,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8556; levenshtein=0.3889; semantic=0.7669; sequence_match=0.5185,False,0.7137,True,selected
RedBordeaux,Bordeaux Grapes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7078; levenshtein=0.3571; semantic=0.7040; sequence_match=0.6400,False,0.6839,True,selected
WineBody,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5000; semantic=0.8012; sequence_match=0.6667,False,0.656,True,selected
WineGrape,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.7998; sequence_match=0.4762,False,0.629,True,selected
VintageYear,Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8946; sequence_match=0.7778,False,0.8665,False,pred already taken by 'Vintage' (higher averaged score)
WineColor,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8595; levenshtein=0.6429; semantic=0.8879; sequence_match=0.7826,False,0.8434,False,gold already mapped to 'Red Wine Color'
Vintage,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8872; sequence_match=0.6667,False,0.818,False,gold already mapped to 'Vintage'
RedWine,Red Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9167; levenshtein=0.5833; semantic=0.7896; sequence_match=0.7368,False,0.8144,False,pred already taken by 'WineColor' (higher averaged score)
WineBody,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,pred already taken by 'wine' (higher averaged score)
Bordeaux,Bordeaux Grapes,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7044; sequence_match=0.7273,False,0.782,False,gold already mapped to 'Bordeaux Wine'
WineSugar,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,gold already mapped to 'Red Wine Color'
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
RedWine,Bordeaux Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8135; levenshtein=0.5000; semantic=0.7914; sequence_match=0.6316,False,0.7455,False,pred already taken by 'Bordeaux' (higher averaged score)
RedBordeaux,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7079; levenshtein=0.4167; semantic=0.7635; sequence_match=0.6957,False,0.7223,False,pred already taken by 'Bordeaux' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,pred already taken by 'wine' (higher averaged score)
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine Color'
WhiteBordeaux,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6660; levenshtein=0.3077; semantic=0.7341; sequence_match=0.6400,False,0.68,False,pred already taken by 'Bordeaux' (higher averaged score)
WineDescriptor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
WineDescriptor,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8248; levenshtein=0.4444; semantic=0.6771; sequence_match=0.5000,False,0.6673,False,pred already taken by 'WineTaste' (higher averaged score)
WhiteBordeaux,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6873; levenshtein=0.3571; semantic=0.7722; sequence_match=0.5185,False,0.6593,False,pred already taken by 'WhiteWine' (higher averaged score)
wine,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.2222; semantic=0.7644; sequence_match=0.3636,False,0.6575,False,gold already mapped to 'Wine'
WineFlavor,Red Wine Color,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6183; levenshtein=0.4167; semantic=0.6822; sequence_match=0.6364,False,0.6456,False,pred already taken by 'WineColor' (higher averaged score)
WineGrape,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.3889; semantic=0.7388; sequence_match=0.5185,False,0.644,False,pred already taken by 'WineTaste' (higher averaged score)
WhiteBordeaux,Bordeaux Grapes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6302; levenshtein=0.2143; semantic=0.6920; sequence_match=0.5926,False,0.6383,False,pred already taken by 'RedBordeaux' (higher averaged score)
WineFlavor,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.6792; sequence_match=0.5833,False,0.6336,False,pred already taken by 'WhiteWine' (higher averaged score)
RedWine,Region,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.4815; sequence_match=0.6154,False,0.6313,False,pred already taken by 'Region' (higher averaged score)
WineGrape,Bordeaux Grapes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.4286; semantic=0.7732; sequence_match=0.5217,False,0.6274,False,gold already mapped to 'Grape Variety'
WineTaste,Vintage,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6899; levenshtein=0.5556; semantic=0.5514; sequence_match=0.6250,False,0.6235,False,gold already mapped to 'Wine Characteristic'
WhiteWine,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.6862; sequence_match=0.4762,False,0.6066,False,gold already mapped to 'White Wine Color'
wine,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6786; levenshtein=0.2857; semantic=0.6939; sequence_match=0.4444,False,0.6056,False,gold already mapped to 'Wine'
WineColor,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.7046; sequence_match=0.4444,False,0.6052,False,gold already mapped to 'Red Wine Color'
wine,Red Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6976; sequence_match=0.5000,False,0.6029,False,gold already mapped to 'Wine'
WineDescriptor,Red Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6865; levenshtein=0.2857; semantic=0.5677; sequence_match=0.5385,False,0.5976,False,top-3 avg score 0.5976 < final_threshold 0.6
Bordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7667; levenshtein=0.3750; semantic=0.5258; sequence_match=0.5000,False,0.5975,False,top-3 avg score 0.5975 < final_threshold 0.6
WineSugar,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.6790; sequence_match=0.4444,False,0.5967,False,top-3 avg score 0.5967 < final_threshold 0.6
WineFlavor,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.7115; sequence_match=0.4286,False,0.5948,False,top-3 avg score 0.5948 < final_threshold 0.6
WineGrape,Red Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6914; sequence_match=0.4762,False,0.5929,False,top-3 avg score 0.5929 < final_threshold 0.6
Vintage,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
wine,Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
RedWine,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.6626; sequence_match=0.4762,False,0.5875,False,top-3 avg score 0.5875 < final_threshold 0.6
wine,Bordeaux Wine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4444; levenshtein=0.3333; semantic=0.8170; sequence_match=0.5000,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.6
Zinfandel,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
VintageYear,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
WineGrape,Vintage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.5926; sequence_match=0.3750,False,0.5757,False,top-3 avg score 0.5757 < final_threshold 0.6
RedBordeaux,Red Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.2500; semantic=0.7257; sequence_match=0.4348,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
Zinfandel,Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5410; sequence_match=0.5000,False,0.571,False,top-3 avg score 0.5710 < final_threshold 0.6
WineBody,Red Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.4167; semantic=0.6236; sequence_match=0.5000,False,0.569,False,top-3 avg score 0.5690 < final_threshold 0.6
WineDescriptor,White Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.5539; sequence_match=0.5000,False,0.5682,False,top-3 avg score 0.5682 < final_threshold 0.6
WhiteWine,Red Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5907; levenshtein=0.1667; semantic=0.6321; sequence_match=0.4762,False,0.5663,False,top-3 avg score 0.5663 < final_threshold 0.6
WhiteBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2308; semantic=0.6844; sequence_match=0.3529,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.6
WineGrape,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.2857; semantic=0.6863; sequence_match=0.4348,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
RedWine,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.2500; semantic=0.6332; sequence_match=0.4211,False,0.5631,False,top-3 avg score 0.5631 < final_threshold 0.6
WineTaste,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.6850; sequence_match=0.3478,False,0.5586,False,top-3 avg score 0.5586 < final_threshold 0.6
WineGrape,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5093; levenshtein=0.1667; semantic=0.7784; sequence_match=0.3810,False,0.5562,False,top-3 avg score 0.5562 < final_threshold 0.6
WineBody,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5940; levenshtein=0.3571; semantic=0.6175; sequence_match=0.4545,False,0.5554,False,top-3 avg score 0.5554 < final_threshold 0.6
WineSugar,Cabernet Sauvignon,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5870; levenshtein=0.2941; semantic=0.6920; sequence_match=0.3846,False,0.5545,False,top-3 avg score 0.5545 < final_threshold 0.6
WineTaste,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.7523; sequence_match=0.3810,False,0.5537,False,top-3 avg score 0.5537 < final_threshold 0.6
RedWine,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.1111; semantic=0.6982; sequence_match=0.3200,False,0.5457,False,top-3 avg score 0.5457 < final_threshold 0.6
Bordeaux,Cabernet Sauvignon,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.2941; semantic=0.6639; sequence_match=0.4000,False,0.5456,False,top-3 avg score 0.5456 < final_threshold 0.6
WineSugar,White Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.3571; semantic=0.6299; sequence_match=0.4348,False,0.5452,False,top-3 avg score 0.5452 < final_threshold 0.6
WineSugar,Red Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5241; levenshtein=0.4167; semantic=0.6325; sequence_match=0.4762,False,0.5443,False,top-3 avg score 0.5443 < final_threshold 0.6
WineGrape,Cabernet Franc,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6821; sequence_match=0.3636,False,0.5419,False,top-3 avg score 0.5419 < final_threshold 0.6
WineSugar,Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3333; semantic=0.5494; sequence_match=0.3750,False,0.5381,False,top-3 avg score 0.5381 < final_threshold 0.6
WineFlavor,Cabernet Sauvignon,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5399; levenshtein=0.2941; semantic=0.6979; sequence_match=0.3704,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.6
WineTaste,Red Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5241; levenshtein=0.3333; semantic=0.6932; sequence_match=0.3810,False,0.5327,False,top-3 avg score 0.5327 < final_threshold 0.6
WhiteWine,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.2778; semantic=0.6383; sequence_match=0.2963,False,0.5291,False,top-3 avg score 0.5291 < final_threshold 0.6
WineGrape,Cabernet Sauvignon,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5499; levenshtein=0.1765; semantic=0.8021; sequence_match=0.2308,False,0.5276,False,top-3 avg score 0.5276 < final_threshold 0.6
WineTaste,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.5021; sequence_match=0.4348,False,0.5266,False,top-3 avg score 0.5266 < final_threshold 0.6
WineTaste,Cabernet Sauvignon,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5621; levenshtein=0.2353; semantic=0.7098; sequence_match=0.3077,False,0.5265,False,top-3 avg score 0.5265 < final_threshold 0.6
WineBody,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.6849; sequence_match=0.3077,False,0.5222,False,top-3 avg score 0.5222 < final_threshold 0.6
VintageYear,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6406; levenshtein=0.2222; semantic=0.5768; sequence_match=0.3448,False,0.5207,False,top-3 avg score 0.5207 < final_threshold 0.6
Bordeaux,Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5535; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
RedWine,Cabernet Sauvignon,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.2353; semantic=0.7905; sequence_match=0.2500,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.6
Zinfandel,Red Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.1667; semantic=0.5867; sequence_match=0.3810,False,0.5194,False,top-3 avg score 0.5194 < final_threshold 0.6
VintageYear,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6730; levenshtein=0.0833; semantic=0.6181; sequence_match=0.2609,False,0.5173,False,top-3 avg score 0.5173 < final_threshold 0.6
WineFlavor,Merlot,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.3000; semantic=0.5761; sequence_match=0.3750,False,0.517,False,top-3 avg score 0.5170 < final_threshold 0.6
WineBody,Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5491; sequence_match=0.4000,False,0.5168,False,top-3 avg score 0.5168 < final_threshold 0.6
RedBordeaux,Cabernet Franc,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5579; levenshtein=0.2308; semantic=0.6544; sequence_match=0.3333,False,0.5152,False,top-3 avg score 0.5152 < final_threshold 0.6
WineBody,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.0833; semantic=0.6976; sequence_match=0.4000,False,0.514,False,top-3 avg score 0.5140 < final_threshold 0.6
Zinfandel,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.2857; semantic=0.4685; sequence_match=0.4348,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.6
WineFlavor,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.0833; semantic=0.7130; sequence_match=0.3636,False,0.5107,False,top-3 avg score 0.5107 < final_threshold 0.6
WhiteBordeaux,Red Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4872; levenshtein=0.0769; semantic=0.6412; sequence_match=0.4000,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.6
wine,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6548; levenshtein=0.2143; semantic=0.5400; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.6
WineDescriptor,Cabernet Sauvignon,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6130; levenshtein=0.2941; semantic=0.5833; sequence_match=0.3226,False,0.5063,False,top-3 avg score 0.5063 < final_threshold 0.6
