prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,inheritFrom,inherits from,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9833; levenshtein=0.9167; semantic=0.8897; sequence_match=0.9565,False,0.9522,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8098; levenshtein=0.6111; semantic=0.7758; sequence_match=0.7586,False,0.7814,True,selected
ObjectProperty,target,step target,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7556; levenshtein=0.6000; semantic=0.7820; sequence_match=0.7500,False,0.7625,True,selected
ObjectProperty,permission,contains permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6852; levenshtein=0.5556; semantic=0.8772; sequence_match=0.7143,False,0.7589,True,selected
ObjectProperty,inheritRelation,inherited by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8521; levenshtein=0.5333; semantic=0.7780; sequence_match=0.6154,False,0.7485,True,selected
ObjectProperty,andSequence,has sequence step,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.5333; semantic=0.6983; sequence_match=0.6923,False,0.7322,True,selected
ObjectProperty,remedy,has remedy duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8205; levenshtein=0.4615; semantic=0.7023; sequence_match=0.6316,False,0.7181,True,selected
ObjectProperty,inheritFrom,inherited by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8545; levenshtein=0.6364; semantic=0.8672; sequence_match=0.6364,False,0.786,False,gold already mapped to 'inherits from'
ObjectProperty,constraint,has sub constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7750; levenshtein=0.6250; semantic=0.7989; sequence_match=0.7692,False,0.781,False,gold already mapped to 'has constraint'
ObjectProperty,inheritRelation,inherits from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5333; semantic=0.7653; sequence_match=0.6667,False,0.7673,False,pred already taken by 'inheritFrom'
ObjectProperty,constraint,contains duty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8665; levenshtein=0.5000; semantic=0.5779; sequence_match=0.7273,False,0.7239,False,gold already mapped to 'has constraint'
ObjectProperty,constraint,contains asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8530; levenshtein=0.4615; semantic=0.5673; sequence_match=0.6957,False,0.7053,False,gold already mapped to 'has constraint'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,permission,applies to permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5942; levenshtein=0.5263; semantic=0.7882; sequence_match=0.6897,False,0.6907,False,top-3 avg score 0.6907 < final_threshold 0.7
