prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,purchases game offering,purchases game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9238; levenshtein=0.6190; semantic=0.8360; sequence_match=0.7647,False,0.8415,True,selected
ObjectProperty,is session in game,session for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7791; levenshtein=0.6667; semantic=0.8436; sequence_match=0.7586,False,0.7938,True,selected
ObjectProperty,is achievement in game,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7192; levenshtein=0.3684; semantic=0.8788; sequence_match=0.6486,False,0.7489,True,selected
ObjectProperty,involves player,uses player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7488; levenshtein=0.5714; semantic=0.7554; sequence_match=0.6667,False,0.7236,True,selected
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,game has achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.8069; levenshtein=0.7778; semantic=0.8383; sequence_match=0.8750,False,0.8401,False,gold already mapped to 'has achievement'
ObjectProperty,has game genre,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9167; levenshtein=0.5833; semantic=0.7788; sequence_match=0.7368,False,0.8108,False,gold already mapped to 'has genre'
ObjectProperty,plays game,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8413; levenshtein=0.6667; semantic=0.8098; sequence_match=0.7500,False,0.8003,False,gold already mapped to 'plays game'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,has item,owns item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'has item'
