gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
Open source software license,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9007; levenshtein=0.6800; semantic=0.9653; sequence_match=0.8095,False,0.8918,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
Development status,Development Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9012; levenshtein=0.7059; semantic=0.7199; sequence_match=0.7500,False,0.7904,True,selected
data item,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,True,selected
text editing,XML Editing,sequence_match+jaro_winkler+semantic,jaro_winkler=0.7591; levenshtein=0.6364; semantic=0.7534; sequence_match=0.7619,False,0.7581,True,selected
CEL binary format,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.4667; semantic=0.6838; sequence_match=0.6400,False,0.6727,True,selected
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,True,selected
function,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6616; levenshtein=0.4615; semantic=0.6734; sequence_match=0.5714,False,0.6355,True,selected
software developer organization,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6105; levenshtein=0.3103; semantic=0.7109; sequence_match=0.5600,False,0.6271,True,selected
plain text file format,Proprietary Format,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6511; levenshtein=0.4737; semantic=0.7144; sequence_match=0.4444,False,0.6131,True,selected
algorithm,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8857; levenshtein=0.4286; semantic=0.7934; sequence_match=0.6000,False,0.7597,False,gold already mapped to 'Algorithm'
software interface,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.6985; sequence_match=0.6897,False,0.7575,False,pred already taken by 'software' (higher averaged score)
Open source software license,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8744; levenshtein=0.5200; semantic=0.7383; sequence_match=0.6087,False,0.7405,False,gold already mapped to 'Open Source License'
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,False,gold already mapped to 'Development Type'
Maintained,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8291; levenshtein=0.4118; semantic=0.7617; sequence_match=0.5926,False,0.7278,False,gold already mapped to 'Maintained'
XML,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.3000; semantic=0.8188; sequence_match=0.4615,False,0.7057,False,pred already taken by 'text editing' (higher averaged score)
software developer role,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6098; sequence_match=0.6061,False,0.6859,False,pred already taken by 'software' (higher averaged score)
data item,Data Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.4000; semantic=0.6331; sequence_match=0.5556,False,0.6751,False,gold already mapped to 'Data'
CEL binary format,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6419; levenshtein=0.5882; semantic=0.7185; sequence_match=0.6250,False,0.6618,False,gold already mapped to 'Open Format'
CEL ASCII format,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6381; levenshtein=0.4286; semantic=0.6821; sequence_match=0.5833,False,0.6345,False,pred already taken by 'CEL binary format' (higher averaged score)
application programming interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4194; semantic=0.7137; sequence_match=0.5200,False,0.6246,False,pred already taken by 'programming language' (higher averaged score)
Development status,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6435; levenshtein=0.3529; semantic=0.6796; sequence_match=0.5294,False,0.6175,False,gold already mapped to 'Development Type'
Source code available,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5677; levenshtein=0.3333; semantic=0.7298; sequence_match=0.5500,False,0.6158,False,pred already taken by 'software developer organization' (higher averaged score)
software developer organization,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6220; levenshtein=0.3103; semantic=0.7488; sequence_match=0.4737,False,0.6148,False,gold already mapped to 'Open Source Development'
software developer role,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6587; levenshtein=0.3333; semantic=0.5998; sequence_match=0.5714,False,0.61,False,gold already mapped to 'Developer'
Source code available,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6680; levenshtein=0.2105; semantic=0.6387; sequence_match=0.5000,False,0.6022,False,pred already taken by 'Open source software license' (higher averaged score)
Development status,Community Development,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6297; levenshtein=0.2500; semantic=0.5795; sequence_match=0.5946,False,0.6013,False,gold already mapped to 'Development Type'
software developer organization,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6927; levenshtein=0.3448; semantic=0.6220; sequence_match=0.4878,False,0.6009,False,gold already mapped to 'Open Source Development'
licence,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5361; levenshtein=0.3529; semantic=0.7575; sequence_match=0.5000,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
