PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has release date,release date,hasreleasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:string,xsd:dateTime,xsdstring,xsddatetime,mismatch,NO,
ObjectProperty,has clause,has usage,hasclause,hasusage,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Algorithm Usage,,algorithmusage,fp,NO,
ObjectProperty,has format specification,has format category,hasformatspecification,hasformatcategory,ObjectProperty,ObjectProperty,tp,data item,Format,dataitem,format,mismatch,data format specification,Format Category,dataformatspecification,formatcategory,mismatch,NO,
ObjectProperty,has input,has valid input,hasinput,hasvalidinput,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Valid Input,,validinput,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,License Type,,licensetype,fp,NO,
ObjectProperty,has version,has version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,version number,Tool Version,versionnumber,toolversion,mismatch,NO,
ObjectProperty,implements,is implemented in,implements,isimplementedin,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,was developed by,isdevelopedby,wasdevelopedby,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,uses algorithm,usesplatform,usesalgorithm,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Algorithm,,algorithm,fp,NO,
ObjectProperty,uses software,has software type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Tool,swo0000001,tool,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
