gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
data format specification,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8870; levenshtein=0.4348; semantic=0.8404; sequence_match=0.6061,False,0.7778,True,selected
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,True,selected
software interface,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8941; levenshtein=0.4706; semantic=0.8315; sequence_match=0.6400,False,0.7885,False,pred already taken by 'software' (higher averaged score)
software developer role,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8762; levenshtein=0.3810; semantic=0.6834; sequence_match=0.5517,False,0.7038,False,pred already taken by 'software' (higher averaged score)
data item,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.5000; semantic=0.6561; sequence_match=0.5556,False,0.6828,False,pred already taken by 'data format specification' (higher averaged score)
software developer organization,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8552; levenshtein=0.2759; semantic=0.7280; sequence_match=0.4324,False,0.6719,False,pred already taken by 'software' (higher averaged score)
CEL ASCII format,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.6978; sequence_match=0.5833,False,0.6715,False,pred already taken by 'data format specification' (higher averaged score)
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,False,pred already taken by 'Development status' (higher averaged score)
CEL binary format,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.4667; semantic=0.7060; sequence_match=0.5600,False,0.6469,False,pred already taken by 'data format specification' (higher averaged score)
software developer organization,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6220; levenshtein=0.3103; semantic=0.7488; sequence_match=0.4737,False,0.6148,False,pred already taken by 'Development status' (higher averaged score)
Not Free,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.5945; sequence_match=0.5333,False,0.6137,False,pred already taken by 'software' (higher averaged score)
Open source software license,Software,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6067; levenshtein=0.3200; semantic=0.6894; sequence_match=0.4848,False,0.5936,False,top-3 avg score 0.5936 < final_threshold 0.6
Open source software license,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5048; levenshtein=0.2800; semantic=0.8238; sequence_match=0.4375,False,0.5887,False,top-3 avg score 0.5887 < final_threshold 0.6
plain text file format,Data Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4535; levenshtein=0.4211; semantic=0.6665; sequence_match=0.5517,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
version number,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6230; sequence_match=0.4545,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
algorithm,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5617; sequence_match=0.4211,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.6
PROcess,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.4911; sequence_match=0.4286,False,0.5129,False,top-3 avg score 0.5129 < final_threshold 0.6
desktop graphical user interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2069; semantic=0.6407; sequence_match=0.3158,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.6
Source code available,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4729; levenshtein=0.2105; semantic=0.6775; sequence_match=0.3571,False,0.5025,False,top-3 avg score 0.5025 < final_threshold 0.6
file rendering,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5663; levenshtein=0.3077; semantic=0.5395; sequence_match=0.4000,False,0.5019,False,top-3 avg score 0.5019 < final_threshold 0.6
Source code available,Software,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5627; levenshtein=0.2105; semantic=0.6414; sequence_match=0.2963,False,0.5001,False,top-3 avg score 0.5001 < final_threshold 0.6
Free,Software,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4583; levenshtein=0.2500; semantic=0.5410; sequence_match=0.5000,False,0.4998,False,top-3 avg score 0.4998 < final_threshold 0.6
application programming interface,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6323; levenshtein=0.1935; semantic=0.6159; sequence_match=0.2500,False,0.4994,False,top-3 avg score 0.4994 < final_threshold 0.6
web service,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5519; levenshtein=0.2000; semantic=0.6284; sequence_match=0.3158,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.6
Maintained,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5494; sequence_match=0.3529,False,0.4929,False,top-3 avg score 0.4929 < final_threshold 0.6
.csv,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.2857; semantic=0.5733; sequence_match=0.4000,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
web service,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5347; sequence_match=0.3529,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.6
algorithm,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.6418; sequence_match=0.3333,False,0.4855,False,top-3 avg score 0.4855 < final_threshold 0.6
Not Free,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.1429; semantic=0.6422; sequence_match=0.2857,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.6
version number,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5663; levenshtein=0.2308; semantic=0.5849; sequence_match=0.3000,False,0.4837,False,top-3 avg score 0.4837 < final_threshold 0.6
file rendering,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5919; sequence_match=0.2727,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.6
