PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has documentation,has documentation location,hasdocumentation,hasdocumentationlocation,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:string,xsd:http://www.semanticweb.org/myontology#anyuri,xsdstring,anyuri,mismatch,NO,
DatatypeProperty,has download location,has download location,hasdownloadlocation,hasdownloadlocation,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:string,xsd:http://www.semanticweb.org/myontology#anyuri,xsdstring,anyuri,mismatch,NO,
DatatypeProperty,has release date,release date,hasreleasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,,Version Release,,versionrelease,fp,xsd:string,xsd:http://www.semanticweb.org/myontology#datetime,xsdstring,datetime,mismatch,NO,
DatatypeProperty,has website homepage,has homepage,haswebsitehomepage,hashomepage,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#anyuri,literal,anyuri,mismatch,NO,
ObjectProperty,has input,has input format,hasinput,hasinputformat,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,License,,license,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,released version,hasversion,releasedversion,ObjectProperty,ObjectProperty,tp,,Version Release,,versionrelease,fp,version number,Version,versionnumber,version,tp,NO,
ObjectProperty,implements,implemented in,implements,implementedin,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,developed by,isdevelopedby,developedby,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,runs on platform,usesplatform,runsonplatform,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Platform,,platform,fp,NO,
ObjectProperty,uses software,has software type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Tool,swo0000001,tool,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
