side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,FN,,
gold,class,Permission,Rule,FN,,
gold,class,Prohibition,Rule,FN,,
pred,class,Prohibition,Permission,FP,,
pred,class,,,untranslated,AggregationPermission,Permission
pred,class,,,untranslated,AndExpression,LogicalExpression
pred,class,,,untranslated,DisaggregationPermission,Permission
pred,class,,,untranslated,Grantee,ContractPartyRole
pred,class,,,untranslated,Grantor,ContractPartyRole
pred,class,,,untranslated,NotExpression,LogicalExpression
pred,class,,,untranslated,OrExpression,LogicalExpression
pred,class,,,untranslated,Sequencing,Constraint
pred,class,,,untranslated,TransferRights,PermissionType
pred,class,,,untranslated,XorExpression,LogicalExpression
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
