prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has property,hasPhysicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,has property,hasChemicalProperty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6113; sequence_match=0.7333,False,0.7347,False,gold already mapped to 'hasPhysicalProperty'
ObjectProperty,hasGeometry,hasChemicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3684; semantic=0.5381; sequence_match=0.5333,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,has period,hasPhysicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5721; sequence_match=0.4286,False,0.5561,False,top-3 avg score 0.5561 < final_threshold 0.7
ObjectProperty,has measurement,usesSensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.5939; sequence_match=0.4167,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,hasGeometry,hasPhysicalProperty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.3158; semantic=0.6535; sequence_match=0.4000,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,has measurement,hasPhysicalProperty,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6225; levenshtein=0.3684; semantic=0.6223; sequence_match=0.3636,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,has period,hasChemicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6866; levenshtein=0.3158; semantic=0.4686; sequence_match=0.4286,False,0.5279,False,top-3 avg score 0.5279 < final_threshold 0.7
ObjectProperty,has measurement,hasChemicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.4211; semantic=0.4881; sequence_match=0.4242,False,0.5269,False,top-3 avg score 0.5269 < final_threshold 0.7
ObjectProperty,has phenomenon time,hasPhysicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5936; levenshtein=0.3158; semantic=0.5697; sequence_match=0.3889,False,0.5174,False,top-3 avg score 0.5174 < final_threshold 0.7
ObjectProperty,makes measurement,usesActuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.1875; semantic=0.5387; sequence_match=0.3571,False,0.5116,False,top-3 avg score 0.5116 < final_threshold 0.7
ObjectProperty,isKPIOf,isDefinedFor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.4537; sequence_match=0.4211,False,0.5061,False,top-3 avg score 0.5061 < final_threshold 0.7
ObjectProperty,has duration,hasPhysicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.5640; sequence_match=0.3333,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,hasGeometry,usesSensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.5476; sequence_match=0.3810,False,0.5045,False,top-3 avg score 0.5045 < final_threshold 0.7
ObjectProperty,has phenomenon time,hasChemicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6208; levenshtein=0.3158; semantic=0.4473; sequence_match=0.4444,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.7
ObjectProperty,applies to,usesActuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.1667; semantic=0.5350; sequence_match=0.3810,False,0.5022,False,top-3 avg score 0.5022 < final_threshold 0.7
ObjectProperty,has billing period,hasPhysicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.3684; semantic=0.4785; sequence_match=0.4571,False,0.5011,False,top-3 avg score 0.5011 < final_threshold 0.7
ObjectProperty,has key performance indicator,hasPhysicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6511; levenshtein=0.2308; semantic=0.4880; sequence_match=0.3556,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,makes measurement,usesSensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4708; levenshtein=0.3125; semantic=0.6275; sequence_match=0.3846,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.7
ObjectProperty,has duration,usesActuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5707; levenshtein=0.2500; semantic=0.4690; sequence_match=0.4348,False,0.4915,False,top-3 avg score 0.4915 < final_threshold 0.7
ObjectProperty,has billing period,hasChemicalProperty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6047; levenshtein=0.3684; semantic=0.3812; sequence_match=0.4571,False,0.481,False,top-3 avg score 0.4810 < final_threshold 0.7
ObjectProperty,has key performance indicator,hasChemicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6394; levenshtein=0.2308; semantic=0.4334; sequence_match=0.3556,False,0.4761,False,top-3 avg score 0.4761 < final_threshold 0.7
ObjectProperty,has duration,hasChemicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.4716; sequence_match=0.3333,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.7
ObjectProperty,has period,usesTariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.4752; sequence_match=0.3158,False,0.4698,False,top-3 avg score 0.4698 < final_threshold 0.7
ObjectProperty,applies to,hasPhysicalProperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6053; levenshtein=0.2632; semantic=0.4462; sequence_match=0.3571,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.7
ObjectProperty,hasGeometry,isDefinedFor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.1667; semantic=0.5021; sequence_match=0.3478,False,0.469,False,top-3 avg score 0.4690 < final_threshold 0.7
ObjectProperty,makes measurement,hasPhysicalProperty,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5544; levenshtein=0.3158; semantic=0.5351; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
