gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
licence,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8805; levenshtein=0.5455; semantic=0.7518; sequence_match=0.6667,False,0.7663,True,selected
Development status,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8671; levenshtein=0.5417; semantic=0.7405; sequence_match=0.6341,False,0.7472,True,selected
data item,Dataset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8881; levenshtein=0.6250; semantic=0.6517; sequence_match=0.6667,False,0.7355,True,selected
version number,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8391; levenshtein=0.4211; semantic=0.7678; sequence_match=0.5625,False,0.7232,True,selected
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,True,selected
function,Publication,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7096; levenshtein=0.5455; semantic=0.5166; sequence_match=0.6316,False,0.6289,True,selected
algorithm,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9286; levenshtein=0.6429; semantic=0.7947; sequence_match=0.7826,False,0.8353,False,gold already mapped to 'Algorithm'
software interface,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.6985; sequence_match=0.6897,False,0.7575,False,pred already taken by 'software' (higher averaged score)
Development status,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8669; levenshtein=0.6471; semantic=0.6969; sequence_match=0.6667,False,0.7435,False,gold already mapped to 'Development Activity Level'
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,False,gold already mapped to 'Development Activity Level'
software developer role,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6098; sequence_match=0.6061,False,0.6859,False,pred already taken by 'software' (higher averaged score)
