Gold_term,Pre_term,Method,Score
Development status,Development Activity Level,top3_avg(jaro_winkler+semantic+sequence_match),0.7472430519944092
algorithm,Algorithm,hard_match,1.0
data item,Dataset,top3_avg(jaro_winkler+semantic+sequence_match),0.7354707381081959
function,Publication,top3_avg(jaro_winkler+levenshtein+sequence_match),0.628876484139642
licence,License Type,top3_avg(jaro_winkler+semantic+sequence_match),0.7663195567041593
programming language,Programming Language,hard_match,1.0
software,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.8460435019599067
software developer role,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.6613310362506376
version number,Version Feature Usage,top3_avg(jaro_winkler+semantic+sequence_match),0.723152223640447
web service,Web Service,hard_match,1.0
