prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,has license,has license type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.7783; sequence_match=0.8333,False,0.8515,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,has format specification,has format type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8770; levenshtein=0.4545; semantic=0.8322; sequence_match=0.6286,False,0.7793,True,selected
ObjectProperty,has version,version of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7307; levenshtein=0.5000; semantic=0.8545; sequence_match=0.7368,False,0.774,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,True,selected
ObjectProperty,uses platform,uses data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8500; levenshtein=0.5000; semantic=0.6698; sequence_match=0.6000,False,0.7066,False,gold already mapped to 'uses algorithm'
ObjectProperty,has declared status,has maintenance status,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8096; levenshtein=0.5000; semantic=0.6414; sequence_match=0.6486,False,0.6999,False,top-3 avg score 0.6999 < final_threshold 0.7
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has version,is feature of version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6889; levenshtein=0.4444; semantic=0.7594; sequence_match=0.5714,False,0.6733,False,top-3 avg score 0.6733 < final_threshold 0.7
ObjectProperty,uses software,uses data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.5000; semantic=0.6906; sequence_match=0.6000,False,0.6617,False,top-3 avg score 0.6617 < final_threshold 0.7
ObjectProperty,is software for,has software type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.6000; semantic=0.6819; sequence_match=0.6429,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
ObjectProperty,has output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6085; sequence_match=0.5217,False,0.6584,False,top-3 avg score 0.6584 < final_threshold 0.7
ObjectProperty,has format specification,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.8151; sequence_match=0.4865,False,0.6574,False,top-3 avg score 0.6574 < final_threshold 0.7
ObjectProperty,uses platform,uses tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8631; levenshtein=0.5000; semantic=0.6019; sequence_match=0.5000,False,0.655,False,top-3 avg score 0.6550 < final_threshold 0.7
ObjectProperty,has clause,has source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7926; levenshtein=0.4444; semantic=0.6122; sequence_match=0.5556,False,0.6535,False,top-3 avg score 0.6535 < final_threshold 0.7
ObjectProperty,has output,has format type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8071; levenshtein=0.3846; semantic=0.5936; sequence_match=0.5455,False,0.6487,False,top-3 avg score 0.6487 < final_threshold 0.7
