Gold_term,Pre_term,Method,Score
has documentation,documentation url,top3_avg(jaro_winkler+semantic+sequence_match),0.803
has release date,release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
has website homepage,has homepage,top3_avg(jaro_winkler+semantic+sequence_match),0.849
has format specification,has format type,top3_avg(jaro_winkler+semantic+sequence_match),0.7793
has input,has input format,top3_avg(jaro_winkler+semantic+sequence_match),0.812
has license,has license type,top3_avg(jaro_winkler+semantic+sequence_match),0.8515
has output,has output format,top3_avg(jaro_winkler+semantic+sequence_match),0.8343
has version,version of,top3_avg(jaro_winkler+semantic+sequence_match),0.774
is developed by,developed by,top3_avg(jaro_winkler+semantic+sequence_match),0.9339
uses platform,uses algorithm,top3_avg(jaro_winkler+semantic+sequence_match),0.7177
uses software,has software type,top3_avg(jaro_winkler+semantic+sequence_match),0.7257
