role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,consequence,hasconsequence,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.9272; sequence_match=0.8800,False,0.8917,True,selected
property,partof,ispartof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8314; sequence_match=0.8571,False,0.8684,True,selected
property,remedy,isremedyfor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.8465; sequence_match=0.7059,False,0.8003,True,selected
property,hasoperator,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8190; levenshtein=0.7500; semantic=0.7978; sequence_match=0.7826,False,0.7998,True,selected
property,hasprohibition,violatesprohibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7171; levenshtein=0.6842; semantic=0.8422; sequence_match=0.7879,False,0.7824,True,selected
property,andsequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7690; levenshtein=0.5333; semantic=0.5522; sequence_match=0.6923,False,0.6712,True,selected
property,hasaction,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.4167; semantic=0.6119; sequence_match=0.5714,False,0.6629,True,selected
property,targetpolicy,linkstopolicy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6596; levenshtein=0.5385; semantic=0.6959; sequence_match=0.5600,False,0.6385,True,selected
property,consequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8273; sequence_match=0.8462,False,0.8413,False,gold already mapped to 'hasconsequence'
property,hasconstraint,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8366; levenshtein=0.6842; semantic=0.8277; sequence_match=0.8125,False,0.8256,False,gold already mapped to 'hasconstraint'
property,hasconstraint,containsconstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6966; levenshtein=0.6667; semantic=0.8901; sequence_match=0.7742,False,0.7870,False,gold already mapped to 'hasconstraint'
property,hasconstraint,satisfiesconstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6849; levenshtein=0.6316; semantic=0.8283; sequence_match=0.7500,False,0.7544,False,gold already mapped to 'hasconstraint'
property,andsequence,hasconsequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4535; sequence_match=0.8000,False,0.7280,False,pred already taken by 'consequence' (higher averaged score)
property,hasconstraint,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8314; levenshtein=0.5385; semantic=0.7044; sequence_match=0.6400,False,0.7253,False,gold already mapped to 'hasconstraint'
property,hasoperator,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8294; levenshtein=0.3333; semantic=0.6391; sequence_match=0.6087,False,0.6924,False,gold already mapped to 'usesoperator'
property,hasconstraint,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8374; levenshtein=0.5714; semantic=0.6348; sequence_match=0.5926,False,0.6883,False,gold already mapped to 'hasconstraint'
property,hasoperator,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.3636; semantic=0.6487; sequence_match=0.5556,False,0.6753,False,gold already mapped to 'usesoperator'
property,hasaction,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8260; levenshtein=0.3846; semantic=0.6452; sequence_match=0.5455,False,0.6722,False,pred already taken by 'hasconstraint' (higher averaged score)
property,hasprohibition,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.6242; sequence_match=0.5455,False,0.6635,False,gold already mapped to 'violatesprohibition'
property,partof,ispartyto,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7037; levenshtein=0.4444; semantic=0.6143; sequence_match=0.6667,False,0.6616,False,gold already mapped to 'ispartof'
property,hasduty,hasright,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.7369; sequence_match=0.5333,False,0.6536,False,gold already mapped to 'hasduty'
property,scope,hascomponent,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8056; levenshtein=0.4167; semantic=0.5300; sequence_match=0.5882,False,0.6413,False,pred already taken by 'hasaction' (higher averaged score)
property,hasoperator,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'usesoperator'
property,hasoperator,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.6721; sequence_match=0.5263,False,0.6305,False,gold already mapped to 'usesoperator'
property,operand,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6437; levenshtein=0.4167; semantic=0.7147; sequence_match=0.5263,False,0.6282,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasaction,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.7063; sequence_match=0.5000,False,0.6261,False,gold already mapped to 'hascomponent'
property,hasaction,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6786; sequence_match=0.5000,False,0.6168,False,gold already mapped to 'hascomponent'
property,hasaction,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.2857; semantic=0.6217; sequence_match=0.5217,False,0.6139,False,gold already mapped to 'hascomponent'
property,haspermission,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3846; semantic=0.6481; sequence_match=0.4762,False,0.5981,False,top-3 avg score 0.5981 < final_threshold 0.6
property,hasprohibition,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.6221; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.6
property,hasaction,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.3333; semantic=0.6505; sequence_match=0.4706,False,0.5937,False,top-3 avg score 0.5937 < final_threshold 0.6
property,hasduty,hasrole,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6190; levenshtein=0.4286; semantic=0.7193; sequence_match=0.4286,False,0.5890,False,top-3 avg score 0.5890 < final_threshold 0.6
property,scope,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5789; sequence_match=0.5000,False,0.5850,False,top-3 avg score 0.5850 < final_threshold 0.6
