Gold_term,Pre_term,Method,Score
andsequence,isconsequenceof,top3_avg(jaro_winkler+sequence_match+semantic),0.6712
consequence,hasconsequence,top3_avg(semantic+sequence_match+jaro_winkler),0.8917
hasaction,hascomponent,top3_avg(jaro_winkler+semantic+sequence_match),0.6629
hasconstraint,hasconstraint,hard_match,1.0000
hasduty,hasduty,hard_match,1.0000
hasoperator,usesoperator,top3_avg(jaro_winkler+semantic+sequence_match),0.7998
hasprohibition,violatesprohibition,top3_avg(semantic+sequence_match+jaro_winkler),0.7824
partof,ispartof,top3_avg(jaro_winkler+sequence_match+semantic),0.8684
remedy,isremedyfor,top3_avg(jaro_winkler+semantic+sequence_match),0.8003
targetpolicy,linkstopolicy,top3_avg(semantic+jaro_winkler+sequence_match),0.6385
