gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Achievement,Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Game,Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Item,Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
in-app purchase event,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8778; sequence_match=0.8387,False,0.887,True,selected
Session,Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8788; levenshtein=0.6364; semantic=0.7822; sequence_match=0.7778,False,0.8129,True,selected
Achievement,Time Achievement,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8202; levenshtein=0.7333; semantic=0.7481; sequence_match=0.8462,False,0.8048,False,gold already mapped to 'Achievement'
Achievement,Score Achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7746; levenshtein=0.6875; semantic=0.7872; sequence_match=0.8148,False,0.7922,False,gold already mapped to 'Achievement'
game product,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.7258; sequence_match=0.5333,False,0.7106,False,pred already taken by 'Game' (higher averaged score)
Player,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.6664; sequence_match=0.5714,False,0.7059,False,gold already mapped to 'Player'
Player,Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.6593; sequence_match=0.5882,False,0.7017,False,gold already mapped to 'Player'
Player,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.6503; sequence_match=0.5714,False,0.7006,False,gold already mapped to 'Player'
Player,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8750; levenshtein=0.3750; semantic=0.6474; sequence_match=0.5455,False,0.6893,False,gold already mapped to 'Player'
Player,Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Player'
playing area,Player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Playing Area'
Achievement,Exploration Achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5087; levenshtein=0.5000; semantic=0.8216; sequence_match=0.6667,False,0.6656,False,gold already mapped to 'Achievement'
playing area,Player Game Stats,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8392; levenshtein=0.5333; semantic=0.4083; sequence_match=0.6154,False,0.6626,False,gold already mapped to 'Playing Area'
Player,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.6427; sequence_match=0.4444,False,0.6481,False,gold already mapped to 'Player'
playing area,Play Session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6414; levenshtein=0.3636; semantic=0.6578; sequence_match=0.5455,False,0.6149,False,gold already mapped to 'Playing Area'
playing area,Player IAP Summary,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8317; levenshtein=0.3750; semantic=0.4339; sequence_match=0.5185,False,0.5947,False,top-3 avg score 0.5947 < final_threshold 0.6
