side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,Bordeaux,Wine,TP,,
gold,class,RedBordeaux,Bordeaux,FN,,
gold,class,RedBordeaux,RedWine,FN,,
gold,class,RedBordeaux,Wine,FN,,
gold,class,RedWine,Wine,FN,,
gold,class,WhiteBordeaux,Bordeaux,FN,,
gold,class,WhiteBordeaux,WhiteWine,FN,,
gold,class,WhiteBordeaux,Wine,FN,,
gold,class,WhiteWine,Wine,FN,,
gold,class,WineBody,WineDescriptor,TP,,
gold,class,WineBody,WineTaste,FN,,
gold,class,WineColor,WineDescriptor,FN,,
gold,class,WineFlavor,WineDescriptor,FN,,
gold,class,WineFlavor,WineTaste,FN,,
gold,class,WineSugar,WineDescriptor,FN,,
gold,class,WineSugar,WineTaste,FN,,
gold,class,WineTaste,WineDescriptor,FN,,
gold,class,Zinfandel,RedWine,FN,,
gold,class,Zinfandel,Wine,FN,,
pred,class,RedWine,WineTaste,FP,,
pred,class,WhiteWine,WineTaste,FP,,
pred,class,Zinfandel,WineGrape,FP,,
pred,class,,,untranslated,Bouquet,WineCharacteristic
pred,class,,,untranslated,Napa,Region
pred,class,,,untranslated,NapaZinfandel,Wine
gold,property,hasBody,hasWineDescriptor,FN,,
gold,property,hasColor,hasWineDescriptor,FN,,
gold,property,hasFlavor,hasWineDescriptor,FN,,
gold,property,hasSugar,hasWineDescriptor,FN,,
pred,property,,,untranslated,hasBody,hasCharacteristic
pred,property,,,untranslated,hasBouquet,hasCharacteristic
