id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,AcceptabilityProperty,AcceptabilityProperty ⊑ WaterProperty,FN,pred has no SubClassOf axiom on 'Physical Property'
AX1-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX2-gold,gold,Class,DisjointClasses,Actuator,"DisjointClasses(Actuator, Sensor)",TP,matched pred AX2
AX2-pred,pred,Class,DisjointClasses,Actuator,"DisjointClasses(Actuator, Sensor)",-,-
AX3-gold,gold,Class,SubClassOf,Actuator,Actuator ⊑ Device,FN,pred has no SubClassOf axiom on 'Actuator'
AX3-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX4-gold,gold,Class,SubClassOf,ChemicalProperty,ChemicalProperty ⊑ WaterProperty,FN,pred has no SubClassOf axiom on 'Chemical Property'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX5-gold,gold,Class,SubClassOf,Device,Device ⊑ ∀makesMeasurement.Measurement,FN,pred has no SubClassOf axiom on 'Device'
AX5-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX6-gold,gold,Class,SubClassOf,FeatureOfInterest,FeatureOfInterest ⊑ ∀hasMeasurement.Measurement,Skip,subject 'FeatureOfInterest' not in alignment table
AX6-pred,pred,-,-,-,(subject not in alignment table),-,-
AX7-gold,gold,Class,SubClassOf,Measurement,Measurement ⊑ ∀hasTimestamp.datetime'>,Skip,subject 'Measurement' not in alignment table
AX7-pred,pred,-,-,-,(subject not in alignment table),-,-
AX8-gold,gold,Class,SubClassOf,Meter,Meter ⊑ Sensor,Skip,subject 'Meter' not in alignment table
AX8-pred,pred,-,-,-,(subject not in alignment table),-,-
AX9-gold,gold,Class,SubClassOf,Point,Point ⊑ Geometry,Skip,subject 'Point' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,Class,SubClassOf,Sensor,Sensor ⊑ Device,FN,pred has no SubClassOf axiom on 'Sensor'
AX10-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
