PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,has release date,releasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:dateTime,xsddatetime,xsddatetime,tp,YES,
DatatypeProperty,username,has username,username,hasusername,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:string,xsdstring,xsdstring,tp,YES,
ObjectProperty,has achievement,has achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,,game,,fn,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,has game genre,has genre,hasgamegenre,hasgenre,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Genre,Genre,genre,genre,tp,YES,
ObjectProperty,has item,has item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,,game,,fn,Item,Item,item,item,tp,NO,
ObjectProperty,has playing area,has playing area,hasplayingarea,hasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,Playing area,playingarea,playingarea,tp,YES,
ObjectProperty,is achievement in game,is achievement of,isachievementingame,isachievementof,ObjectProperty,ObjectProperty,tp,Achievement,Achievement,achievement,achievement,tp,Game,,game,,fn,NO,
ObjectProperty,is player in session,is player in stat,isplayerinsession,isplayerinstat,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Session,Player game stat,session,playergamestat,mismatch,NO,
ObjectProperty,owns item,is item of,ownsitem,isitemof,ObjectProperty,ObjectProperty,tp,Character,Item,character,item,mismatch,Item,,item,,fn,NO,
ObjectProperty,plays game,plays game,playsgame,playsgame,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Game,Game,game,game,tp,YES,
ObjectProperty,purchases game offering,purchase for game,purchasesgameoffering,purchaseforgame,ObjectProperty,ObjectProperty,tp,in-app purchase event,In-app purchase,inapppurchaseevent,inapppurchase,tp,game product,Game,gameproduct,game,mismatch,NO,
