Gold_term,Pre_term,Method,Score
CEL binary format,open format,top3_avg(jaro_winkler+semantic+sequence_match),0.672743413536637
Development status,development activity level,top3_avg(jaro_winkler+semantic+sequence_match),0.7472430519944092
algorithm,Algorithm,hard_match,1.0
data item,data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
function,Modification,top3_avg(jaro_winkler+semantic+sequence_match),0.605713834144451
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
programming language,programming language,hard_match,1.0
software,software type,top3_avg(jaro_winkler+semantic+sequence_match),0.8460435019599067
software developer role,developer,top3_avg(jaro_winkler+semantic+sequence_match),0.6613310362506376
version number,version,top3_avg(jaro_winkler+semantic+sequence_match),0.8497086188732048
