prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,is session in game,session for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7791; levenshtein=0.6667; semantic=0.8436; sequence_match=0.7586,False,0.7938,True,selected
ObjectProperty,has achievement,earned achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7432; levenshtein=0.7059; semantic=0.8431; sequence_match=0.7742,False,0.7868,True,selected
ObjectProperty,purchases game offering,purchase in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8857; levenshtein=0.5238; semantic=0.7400; sequence_match=0.6857,False,0.7705,True,selected
ObjectProperty,owns achievement,includes achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7221; levenshtein=0.6316; semantic=0.7765; sequence_match=0.7647,False,0.7544,True,selected
ObjectProperty,has achievement,includes achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6907; levenshtein=0.6316; semantic=0.8438; sequence_match=0.7273,False,0.7539,False,gold already mapped to 'earned achievement'
ObjectProperty,owns achievement,earned achievement,semantic+sequence_match+levenshtein,jaro_winkler=0.6964; levenshtein=0.7059; semantic=0.7818; sequence_match=0.7500,False,0.7459,False,gold already mapped to 'includes achievement'
ObjectProperty,has item,owns item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'has item'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'owns item'
ObjectProperty,has item,has type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6372; sequence_match=0.7143,False,0.7394,False,gold already mapped to 'has item'
ObjectProperty,owns achievement,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8683; levenshtein=0.4667; semantic=0.7030; sequence_match=0.6087,False,0.7267,False,gold already mapped to 'includes achievement'
ObjectProperty,owns character,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8423; levenshtein=0.4615; semantic=0.7426; sequence_match=0.5714,False,0.7188,False,pred already taken by 'owns item'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,is achievement in game,includes achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6817; levenshtein=0.3684; semantic=0.7286; sequence_match=0.6842,False,0.6982,False,top-3 avg score 0.6982 < final_threshold 0.7
ObjectProperty,purchases game offering,purchase by player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8423; levenshtein=0.4762; semantic=0.6408; sequence_match=0.5946,False,0.6926,False,top-3 avg score 0.6926 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,has item,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8167; levenshtein=0.4000; semantic=0.5931; sequence_match=0.5882,False,0.666,False,top-3 avg score 0.6660 < final_threshold 0.7
ObjectProperty,has item,has stat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8000; levenshtein=0.5714; semantic=0.6249; sequence_match=0.5714,False,0.6654,False,top-3 avg score 0.6654 < final_threshold 0.7
ObjectProperty,is character in game,purchase in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7710; levenshtein=0.5294; semantic=0.5710; sequence_match=0.6452,False,0.6624,False,top-3 avg score 0.6624 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,is achievement in game,earned achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6625; levenshtein=0.3684; semantic=0.6958; sequence_match=0.6111,False,0.6565,False,top-3 avg score 0.6565 < final_threshold 0.7
ObjectProperty,is session in game,session for player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6468; levenshtein=0.4375; semantic=0.7328; sequence_match=0.5806,False,0.6534,False,top-3 avg score 0.6534 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,plays game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,is friend with player,session for player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.4444; semantic=0.6645; sequence_match=0.5294,False,0.6387,False,top-3 avg score 0.6387 < final_threshold 0.7
ObjectProperty,has feature,has stat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.5000; semantic=0.6370; sequence_match=0.5882,False,0.6322,False,top-3 avg score 0.6322 < final_threshold 0.7
ObjectProperty,plays game,belongs to game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6538; levenshtein=0.4615; semantic=0.6949; sequence_match=0.5455,False,0.6314,False,top-3 avg score 0.6314 < final_threshold 0.7
ObjectProperty,involves player,session for player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6729; levenshtein=0.4375; semantic=0.6875; sequence_match=0.5333,False,0.6313,False,top-3 avg score 0.6313 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has achievement,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.3571; semantic=0.6892; sequence_match=0.5000,False,0.6218,False,top-3 avg score 0.6218 < final_threshold 0.7
ObjectProperty,is friend with player,stat for player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6416; levenshtein=0.3889; semantic=0.6404; sequence_match=0.5806,False,0.6209,False,top-3 avg score 0.6209 < final_threshold 0.7
