PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has fabrication number,has Fabrication Number,hasfabricationnumber,hasfabricationnumber,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has firmware version,has Firmware Version,hasfirmwareversion,hasfirmwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has hardware version,has Hardware Version Number,hashardwareversion,hashardwareversionnumber,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has manufacturer,has Manufacturer,hasmanufacturer,hasmanufacturer,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:string,,xsdstring,fp,NO,
DatatypeProperty,has model,has Model,hasmodel,hasmodel,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:string,,xsdstring,fp,NO,
DatatypeProperty,has start timestamp,has Start Date And Time,hasstarttimestamp,hasstartdateandtime,DatatypeProperty,DatatypeProperty,tp,Tariff,Tariff,tariff,tariff,tp,xsd:dateTime,xsd:dateTime,xsddatetime,xsddatetime,tp,YES,
DatatypeProperty,has version,has Version,hasversion,hasversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
ObjectProperty,has property,has Physical Property,hasproperty,hasphysicalproperty,ObjectProperty,ObjectProperty,tp,,Water,,water,fp,,Physical Property,,physicalproperty,fp,NO,
ObjectProperty,makes measurement,provides Measurement,makesmeasurement,providesmeasurement,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Measurement,,measurement,fp,NO,
ObjectProperty,measurement made by,measures,measurementmadeby,measures,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Water Distribution Infrastructure,,waterdistributioninfrastructure,fp,NO,
