role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,wine,wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,vintage,vintage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,vintageyear,vintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,winegrape,winetype,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8833; levenshtein=0.6667; semantic=0.6361; sequence_match=0.7059,False,0.7520,True,selected
class,winedescriptor,winecharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8248; levenshtein=0.4444; semantic=0.6960; sequence_match=0.5000,False,0.6736,True,selected
class,redwine,region,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.5113; sequence_match=0.6154,False,0.6412,True,selected
class,vintage,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8827; sequence_match=0.7778,False,0.8626,False,gold already mapped to 'vintage'
class,vintageyear,vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8827; sequence_match=0.7778,False,0.8626,False,gold already mapped to 'vintageyear'
class,winegrape,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8630; sequence_match=0.6154,False,0.7891,False,pred already taken by 'wine' (higher averaged score)
class,wine,winetype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.6589; sequence_match=0.6667,False,0.7419,False,gold already mapped to 'wine'
class,winegrape,grape,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.9216; sequence_match=0.7143,False,0.7305,False,gold already mapped to 'winetype'
class,redwine,wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8363; sequence_match=0.7273,False,0.7117,False,pred already taken by 'wine' (higher averaged score)
class,whitewine,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7709; sequence_match=0.6154,False,0.6936,False,pred already taken by 'wine' (higher averaged score)
class,winedescriptor,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7451; sequence_match=0.4444,False,0.6822,False,pred already taken by 'wine' (higher averaged score)
class,wine,winecharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.2222; semantic=0.7778; sequence_match=0.3636,False,0.6620,False,gold already mapped to 'wine'
